Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
145,2,2,DRY,CLASE B-C,31,5
146,2,2,DRY,CLASE B-C,31,5
147,2,2,DRY,CLASE B-C,31,5
148,2,2,DRY,CLASE B-C,31,5
149,2,2,DRY,CLASE B-C,31,5
150,1,2,DRY,CLASE B-C,33,5
151,1,2,RF,CLASE B-C,32,5
152,1,2,RF,CLASE B-C,21,5
153,1,2,DRY,CLASE B-C,18,5
154,2,2,DRY,CLASE B-C,21,5
155,2,2,DRY,CLASE B-C,21,5
156,2,2,DRY,CLASE B-C,22,5
157,2,2,DRY,CLASE B-C,25,5
158,2,2,DRY,CLASE B-C,25,5
159,2,2,DRY,CLASE B-C,21,5
160,2,2,DRY,CLASE B-C,30,5
161,2,2,DRY,CLASE B-C,30,5
162,2,2,DRY,CLASE B-C,21,5
163,1,2,DRY,CLASE B-C,31,5
164,1,2,DRY,CLASE B-C,31,5
165,3,2,DRY,CLASE B-C,18,5
166,3,2,DRY,CLASE B-C,18,5
167,3,2,DRY,CLASE A,18,5
168,3,2,DRY,CLASE B-C,18,5
169,6,2,DRY,CLASE B-C,15,5
170,6,2,DRY,CLASE B-C,15,5
171,6,2,DRY,CLASE B-C,15,5
172,6,2,DRY,CLASE B-C,15,5
173,6,2,RF,CLASE B-C,21,5
174,6,2,DRY,CLASE B-C,15,5
175,6,2,DRY,CLASE B-C,15,5
176,6,2,DRY,CLASE B-C,15,5
177,1,2,DRY,CLASE B-C,25,5
178,9,1,DRY,CLASE B-C,18,5
179,9,1,DRY,CLASE B-C,19,5
180,2,2,DRY,CLASE B-C,17,5
181,2,2,DRY,CLASE B-C,17,5
182,2,2,DRY,CLASE B-C,17,5
183,2,2,DRY,CLASE B-C,17,5
184,2,2,DRY,CLASE B-C,17,5
185,2,2,DRY,CLASE B-C,17,5
186,1,2,RF,CLASE B-C,22,5
187,1,2,RF,CLASE B-C,22,5
188,6,2,RF,CLASE B-C,18,5
189,6,2,RF,CLASE B-C,18,5
190,6,2,DRY,CLASE B-C,16,5
191,6,2,DRY,CLASE B-C,16,5
192,6,2,RF,CLASE B-C,19,5
193,6,2,RF,CLASE B-C,18,5
194,6,2,RF,CLASE B-C,18,5
195,6,2,DRY,CLASE B-C,16,5
196,6,2,DRY,CLASE B-C,16,5
197,1,2,DRY,CLASE B-C,18,5
198,6,2,DRY,CLASE B-C,9,5
199,6,2,DRY,CLASE B-C,9,5
200,1,1,DRY,CLASE B-C,4,5
201,1,1,DRY,CLASE B-C,5,5
202,1,2,DRY,CLASE B-C,4,5
203,1,2,DRY,CLASE B-C,11,5
204,1,2,DRY,CLASE B-C,10,5
205,1,2,DRY,CLASE B-C,10,5
206,1,2,DRY,CLASE B-C,10,5
207,1,2,DRY,CLASE B-C,10,5
208,6,2,DRY,CLASE B-C,1,5
209,7,2,DRY,CLASE B-C,1,5
210,7,2,DRY,CLASE B-C,1,5
211,7,2,DRY,CLASE B-C,1,5
212,7,2,DRY,CLASE B-C,1,5
213,7,2,DRY,CLASE B-C,1,5
214,7,2,DRY,CLASE B-C,1,5
215,7,2,DRY,CLASE B-C,1,5
216,7,2,DRY,CLASE B-C,1,5
217,7,2,DRY,CLASE B-C,1,5
218,7,2,DRY,CLASE B-C,1,5
219,7,2,DRY,CLASE B-C,1,5
220,7,2,DRY,CLASE B-C,1,5
221,1,2,DRY,CLASE B-C,6,5
222,1,2,DRY,CLASE B-C,6,5
223,7,2,DRY,CLASE B-C,1,5
224,7,2,DRY,CLASE B-C,1,5
225,7,2,DRY,CLASE B-C,3,5
226,7,2,DRY,CLASE B-C,1,5
227,7,2,DRY,CLASE B-C,1,5
228,7,2,DRY,CLASE B-C,1,5
229,7,2,DRY,CLASE B,1,5
230,7,2,DRY,CLASE B-C,1,5
231,7,2,DRY,CLASE B-C,1,5
232,7,2,DRY,CLASE B-C,1,5
233,7,2,DRY,CLASE B-C,1,5
234,7,2,DRY,CLASE B-C,1,5
235,7,2,DRY,CLASE B-C,1,5
236,7,2,DRY,CLASE B-C,1,5
237,7,2,DRY,CLASE B-C,1,5
