Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
638,2,1,DRY,INSPECTION,33,5
639,2,2,DRY,INSPECTION,31,5
640,2,2,DRY,INSPECTION,40,5
641,2,1,DRY,INSPECTION,27,5
642,2,1,DRY,INSPECTION,27,5
643,2,1,DRY,INSPECTION,27,5
644,2,2,DRY,INSPECTION,36,5
645,2,1,DRY,INSPECTION,27,5
646,2,2,DRY,INSPECTION,35,5
647,2,1,DRY,INSPECTION,33,5
648,2,1,DRY,INSPECTION,33,5
649,2,1,DRY,INSPECTION,33,5
650,2,1,DRY,INSPECTION,33,5
651,2,2,DRY,CLASE B-C,39,5
652,2,2,DRY,INSPECTION,40,5
653,2,2,DRY,INSPECTION,29,5
654,2,2,DRY,INSPECTION,36,5
655,2,1,DRY,INSPECTION,34,5
656,2,1,DRY,INSPECTION,30,5
657,2,1,DRY,INSPECTION,36,5
658,2,2,DRY,INSPECTION,40,5
659,2,1,DRY,INSPECTION,27,5
660,2,1,DRY,INSPECTION,35,5
661,2,1,DRY,INSPECTION,33,5
662,2,2,DRY,INSPECTION,41,5
663,2,2,DRY,INSPECTION,34,5
664,2,2,DRY,INSPECTION,35,5
665,2,2,DRY,INSPECTION,29,5
666,2,1,DRY,INSPECTION,33,5
667,2,1,DRY,INSPECTION,34,5
668,2,1,DRY,INSPECTION,34,5
669,3,2,DRY,CLASE B-C,25,5
670,3,2,DRY,CLASE A,24,5
671,3,2,DRY,CLASE B-C,25,5
672,3,2,DRY,CLASE A,24,5
673,7,2,DRY,CLASE B-C,33,5
674,7,2,DRY,CLASE B-C,36,5
675,6,2,RF,CLASE B-C,32,5
676,6,2,RF,CLASE B-C,32,5
677,6,2,RF,CLASE B-C,32,5
678,6,2,RF,CLASE B-C,32,5
679,6,2,RF,CLASE B-C,26,5
680,6,2,RF,CLASE B-C,32,5
681,1,1,DRY,CLASE B-C,15,5
682,1,1,DRY,CLASE B-C,15,5
683,1,2,DRY,CLASE B-C,28,5
684,2,2,DRY,CLASE B-C,31,5
685,2,2,DRY,CLASE B-C,31,5
686,2,2,DRY,INSPECTION,30,5
687,2,2,DRY,CLASE B-C,31,5
688,2,2,DRY,CLASE B-C,31,5
689,2,2,DRY,CLASE B-C,31,5
690,2,2,DRY,CLASE B-C,24,5
691,2,2,DRY,CLASE B-C,31,5
692,2,2,DRY,CLASE B-C,31,5
693,2,2,DRY,CLASE B-C,28,5
694,2,2,DRY,CLASE B-C,31,5
695,2,2,DRY,CLASE B-C,31,5
696,2,2,DRY,CLASE B-C,31,5
697,2,2,DRY,INSPECTION,30,5
698,2,2,DRY,INSPECTION,30,5
699,2,2,DRY,INSPECTION,30,5
700,2,2,DRY,CLASE B-C,31,5
701,2,2,DRY,INSPECTION,31,5
702,2,2,DRY,CLASE B-C,31,5
703,2,2,DRY,CLASE B-C,31,5
704,2,2,DRY,CLASE B-C,31,5
705,2,2,DRY,CLASE B-C,31,5
706,2,2,DRY,INSPECTION,33,5
707,2,2,DRY,CLASE B-C,31,5
708,2,2,DRY,CLASE B-C,29,5
709,2,2,DRY,CLASE B-C,31,5
710,2,2,DRY,CLASE B-C,31,5
711,2,2,DRY,CLASE B-C,31,5
712,2,2,DRY,INSPECTION,30,5
713,2,2,DRY,CLASE B-C,31,5
714,2,2,DRY,CLASE B-C,31,5
715,2,2,DRY,CLASE B-C,31,5
716,2,2,DRY,CLASE B-C,23,5
717,2,2,DRY,CLASE B-C,31,5
718,2,1,DRY,INSPECTION,29,5
719,2,1,DRY,INSPECTION,26,5
720,2,2,DRY,INSPECTION,33,5
721,2,2,DRY,CLASE B-C,31,5
722,2,2,DRY,INSPECTION,27,5
723,2,2,DRY,CLASE B-C,31,5
724,2,2,DRY,CLASE B-C,27,5
725,2,2,DRY,CLASE B-C,31,5
726,2,1,DRY,INSPECTION,26,5
727,2,1,DRY,INSPECTION,27,5
728,2,2,DRY,CLASE B-C,31,5
729,2,2,DRY,INSPECTION,33,5
730,2,2,DRY,INSPECTION,32,5
731,2,2,DRY,INSPECTION,27,5
732,2,2,DRY,CLASE B-C,32,5
733,3,2,DRY,CLASE A,19,5
734,3,2,DRY,CLASE A,19,5
735,3,2,DRY,CLASE A,19,5
736,3,2,DRY,CLASE A,19,5
737,3,2,DRY,CLASE A,19,5
738,3,2,DRY,CLASE A,19,5
739,3,2,DRY,CLASE B-C,15,5
740,6,2,RF,CLASE B-C,22,5
741,6,2,DRY,CLASE B-C,23,5
742,7,2,RF,CLASE B-C,27,5
743,7,2,DRY,CLASE B-C,26,5
744,7,2,RF,CLASE B-C,30,5
745,2,2,DRY,INSPECTION,27,5
746,4,2,DRY,INSPECTION,26,5
747,4,2,DRY,INSPECTION,26,5
748,4,2,DRY,INSPECTION,22,5
749,4,2,DRY,INSPECTION,21,5
750,4,2,DRY,INSPECTION,26,5
751,4,1,DRY,CLASE D,20,5
752,4,1,DRY,CLASE B-C,20,5
753,4,1,DRY,INSPECTION,20,5
754,4,1,DRY,CLASE B-C,20,5
755,4,1,DRY,CLASE B-C,20,5
756,2,1,DRY,INSPECTION,20,5
757,2,2,DRY,INSPECTION,19,5
758,2,1,DRY,INSPECTION,20,5
759,2,2,DRY,INSPECTION,21,5
760,2,2,DRY,INSPECTION,19,5
761,2,2,DRY,CLASE B-C,20,5
762,2,2,DRY,CLASE B-C,20,5
763,2,1,DRY,CLASE B-C,14,5
764,2,2,DRY,CLASE B-C,20,5
765,2,2,DRY,CLASE B-C,20,5
766,2,2,DRY,CLASE B-C,20,5
767,2,2,DRY,INSPECTION,21,5
768,2,2,DRY,INSPECTION,22,5
769,2,2,DRY,INSPECTION,20,5
770,2,2,DRY,INSPECTION,21,5
771,2,2,DRY,INSPECTION,19,5
772,2,2,DRY,INSPECTION,18,5
773,2,2,DRY,INSPECTION,22,5
774,2,2,DRY,INSPECTION,22,5
775,2,2,DRY,INSPECTION,22,5
776,2,2,DRY,INSPECTION,21,5
777,2,2,DRY,CLASE B-C,18,5
778,2,2,DRY,CLASE B-C,20,5
779,2,2,DRY,CLASE B-C,20,5
780,2,2,DRY,CLASE B-C,20,5
781,2,1,DRY,INSPECTION,20,5
782,2,2,DRY,CLASE B-C,20,5
783,2,2,DRY,CLASE B-C,20,5
784,2,1,DRY,INSPECTION,20,5
785,2,1,DRY,INSPECTION,16,5
786,2,2,DRY,INSPECTION,22,5
787,2,2,DRY,INSPECTION,20,5
788,2,1,DRY,INSPECTION,21,5
789,2,1,DRY,INSPECTION,20,5
790,2,1,DRY,INSPECTION,20,5
791,2,1,DRY,INSPECTION,16,5
792,2,1,DRY,INSPECTION,18,5
793,2,1,DRY,INSPECTION,20,5
794,2,2,DRY,INSPECTION,21,5
795,2,2,DRY,INSPECTION,21,5
796,2,2,DRY,INSPECTION,21,5
797,2,2,DRY,INSPECTION,22,5
798,5,2,DRY,CLASE B-C,22,5
799,5,1,DRY,INSPECTION,19,5
800,5,2,DRY,CLASE B-C,22,5
801,5,2,DRY,CLASE B-C,22,5
802,5,2,DRY,CLASE B-C,22,5
803,5,2,DRY,CLASE B-C,24,5
804,5,1,DRY,INSPECTION,19,5
805,5,2,DRY,CLASE B-C,22,5
806,5,2,DRY,CLASE B-C,22,5
807,5,2,DRY,CLASE B-C,22,5
808,5,2,DRY,INSPECTION,22,5
809,5,2,DRY,CLASE B-C,22,5
810,5,2,DRY,CLASE B-C,22,5
811,5,2,DRY,CLASE B-C,22,5
812,3,2,DRY,CLASE B-C,20,5
813,3,2,DRY,CLASE B-C,20,5
814,3,2,DRY,CLASE B-C,20,5
815,3,2,DRY,CLASE B-C,20,5
816,3,2,DRY,CLASE B-C,20,5
817,3,2,DRY,CLASE B-C,19,5
818,3,2,DRY,CLASE B-C,1,5
819,3,2,DRY,CLASE A,18,5
820,3,2,DRY,CLASE B-C,20,5
821,3,2,DRY,CLASE B-C,20,5
822,3,2,DRY,CLASE B-C,19,5
823,6,2,DRY,CLASE B-C,10,5
824,7,2,DRY,CLASE B-C,1,5
825,4,1,DRY,CLASE B-C,7,5
826,2,1,DRY,INSPECTION,8,5
827,2,1,DRY,CLASE B-C,7,5
828,2,1,DRY,INSPECTION,7,5
829,2,1,DRY,INSPECTION,8,5
830,2,1,DRY,INSPECTION,7,5
831,2,1,DRY,INSPECTION,7,5
832,2,1,DRY,INSPECTION,7,5
833,2,1,DRY,INSPECTION,7,5
834,2,1,DRY,INSPECTION,8,5
835,2,1,DRY,INSPECTION,7,5
836,5,2,DRY,CLASE B-C,8,5
837,5,2,DRY,CLASE B-C,7,5
838,5,2,DRY,CLASE B-C,7,5
839,5,2,DRY,CLASE B-C,7,5
840,5,2,DRY,CLASE B-C,7,5
841,1,2,DRY,CLASE B-C,2,5
842,1,1,DRY,CLASE B-C,9,5
843,1,1,DRY,CLASE B-C,9,5
844,1,1,DRY,CLASE B-C,9,5
845,2,1,DRY,INSPECTION,9,5
846,3,2,DRY,CLASE A,5,5
847,3,2,DRY,CLASE B-C,2,5
848,6,2,DRY,CLASE B-C,2,5
849,6,2,DRY,CLASE B-C,1,5
850,6,2,DRY,CLASE B-C,4,5
851,6,2,RF,CLASE B-C,5,5
852,6,2,RF,CLASE B-C,5,5
853,6,2,RF,CLASE B-C,5,5
854,6,2,DRY,CLASE B-C,1,5
855,6,2,DRY,CLASE B-C,1,5
856,7,2,DRY,CLASE B-C,6,5
857,7,2,DRY,CLASE B,6,5
858,7,2,DRY,CLASE B,1,5
859,7,2,DRY,CLASE A,3,5
860,7,2,DRY,CLASE B-C,6,5
861,7,2,DRY,CLASE B-C,5,5
862,7,2,DRY,CLASE B-C,5,5
863,7,2,DRY,CLASE B-C,5,5
864,7,2,DRY,CLASE B-C,6,5
865,7,2,DRY,CLASE B-C,6,5
866,7,2,DRY,CLASE B-C,5,5
867,7,2,DRY,CLASE B-C,6,5
868,7,2,DRY,CLASE B-C,6,5
869,7,2,DRY,CLASE B-C,5,5
870,7,2,DRY,CLASE B-C,5,5
871,7,2,DRY,CLASE B-C,5,5
872,7,2,DRY,CLASE B-C,6,5
873,7,2,DRY,CLASE B-C,1,5
874,7,2,DRY,CLASE B-C,6,5
875,7,2,DRY,CLASE B-C,6,5
876,7,2,DRY,CLASE B-C,6,5
877,7,2,DRY,CLASE B-C,6,5
878,7,2,DRY,CLASE B-C,5,5
879,7,2,DRY,CLASE B-C,6,5
880,7,2,DRY,CLASE B-C,6,5
881,7,2,DRY,CLASE B-C,5,5
882,7,2,DRY,CLASE B-C,6,5
883,7,2,DRY,CLASE B-C,6,5
884,7,2,DRY,CLASE B-C,1,5
885,7,2,DRY,CLASE B-C,6,5
886,7,2,DRY,CLASE B,1,5
887,7,2,DRY,CLASE B-C,1,5
888,7,2,DRY,CLASE B-C,5,5
889,7,2,DRY,CLASE B-C,5,5
890,7,2,DRY,CLASE B-C,5,5
891,7,2,DRY,CLASE B-C,5,5
892,7,2,DRY,CLASE B-C,1,5
893,7,2,DRY,CLASE B-C,6,5
894,7,2,DRY,CLASE B-C,6,5
895,7,2,DRY,CLASE B-C,6,5
896,7,2,DRY,CLASE B-C,6,5
897,7,2,DRY,CLASE B-C,6,5
898,7,2,DRY,CLASE B-C,6,5
899,7,2,DRY,CLASE B-C,5,5
900,7,2,DRY,CLASE B-C,6,5
901,7,2,DRY,CLASE B-C,1,5
902,7,2,DRY,CLASE B-C,5,5
903,7,2,DRY,CLASE B-C,6,5
904,7,2,DRY,CLASE B-C,1,5
905,7,2,DRY,CLASE B-C,1,5
906,7,2,DRY,CLASE B-C,4,5
907,7,2,DRY,CLASE B-C,1,5
908,7,2,DRY,CLASE B-C,6,5
909,7,2,DRY,CLASE B-C,6,5
910,7,2,DRY,CLASE B-C,5,5
911,7,2,DRY,CLASE B-C,1,5
912,7,2,DRY,CLASE B-C,6,5
913,7,2,DRY,CLASE B-C,2,5
914,7,2,DRY,CLASE B-C,6,5
915,7,2,DRY,CLASE B-C,4,5
916,7,2,DRY,CLASE B-C,5,5
917,7,2,DRY,CLASE B-C,6,5
918,7,2,DRY,CLASE B-C,6,5
919,7,2,DRY,CLASE B-C,1,5
920,7,2,DRY,CLASE B-C,5,5
921,7,2,DRY,CLASE B-C,1,5
922,7,2,DRY,CLASE B-C,2,5
923,7,2,DRY,CLASE B-C,6,5
924,7,2,DRY,CLASE B-C,4,5
925,7,2,DRY,CLASE B-C,6,5
926,7,2,DRY,CLASE B-C,2,5
927,7,2,DRY,CLASE B-C,6,5
928,7,2,DRY,CLASE B-C,5,5
929,7,2,DRY,CLASE B-C,1,5
930,7,2,DRY,CLASE B-C,5,5
931,7,2,DRY,CLASE B-C,6,5
932,7,2,DRY,CLASE B-C,1,5
933,7,2,DRY,CLASE B-C,1,5
934,7,2,DRY,CLASE B-C,1,5
935,7,2,DRY,CLASE B-C,6,5
936,7,2,DRY,CLASE B-C,6,5
937,7,2,DRY,CLASE B-C,7,5
938,7,2,DRY,CLASE B-C,6,5
939,7,2,DRY,CLASE B-C,6,5
940,7,2,DRY,CLASE B-C,1,5
941,7,2,DRY,CLASE B-C,6,5
942,7,2,DRY,CLASE B-C,6,5
943,7,2,DRY,CLASE B-C,6,5
944,7,2,DRY,CLASE A,6,5
945,7,2,DRY,CLASE B-C,6,5
946,7,2,DRY,CLASE B-C,6,5
947,7,2,DRY,CLASE B-C,6,5
948,7,2,DRY,CLASE B-C,1,5
949,7,2,DRY,CLASE B-C,4,5
950,7,2,DRY,CLASE B-C,1,5
951,7,2,DRY,CLASE B-C,6,5
952,7,2,DRY,CLASE B-C,5,5
953,7,2,DRY,CLASE B-C,6,5
954,7,2,DRY,CLASE B-C,1,5
955,7,2,DRY,CLASE B-C,4,5
956,7,2,DRY,CLASE D,1,5
957,7,2,DRY,CLASE B-C,5,5
958,7,2,DRY,CLASE B-C,6,5
959,7,2,DRY,CLASE B-C,1,5
960,7,2,DRY,CLASE B-C,2,5
961,7,2,DRY,CLASE B-C,5,5
962,7,2,DRY,CLASE B,1,5
963,7,2,DRY,CLASE B-C,6,5
964,7,2,DRY,CLASE B-C,5,5
965,7,2,DRY,CLASE B-C,5,5
966,7,2,DRY,CLASE B-C,2,5
967,7,2,DRY,CLASE B-C,6,5
968,7,2,DRY,CLASE B-C,1,5
969,7,2,DRY,CLASE B-C,3,5
970,7,2,DRY,CLASE B-C,5,5
971,7,2,DRY,CLASE B-C,4,5
972,7,2,DRY,CLASE B-C,1,5
973,7,2,DRY,CLASE B-C,2,5
974,7,2,DRY,CLASE B-C,1,5
975,7,2,DRY,CLASE B-C,4,5
976,7,2,DRY,CLASE B-C,4,5
977,7,2,DRY,CLASE B,1,5
978,7,2,DRY,CLASE B-C,1,5
979,7,2,DRY,CLASE B-C,1,5
980,7,2,DRY,CLASE B-C,4,5
981,7,2,DRY,CLASE B-C,1,5
982,7,2,DRY,CLASE B-C,1,5
983,7,2,DRY,CLASE B-C,2,5
984,7,2,DRY,CLASE B-C,1,5
985,7,2,DRY,CLASE B-C,5,5
986,7,2,DRY,CLASE B-C,1,5
987,7,2,DRY,CLASE B-C,1,5
988,7,2,DRY,CLASE B-C,1,5
989,7,2,DRY,CLASE B-C,1,5
990,7,2,DRY,CLASE B-C,4,5
991,7,2,DRY,CLASE B-C,5,5
992,7,2,DRY,CLASE B-C,1,5
993,7,2,DRY,CLASE B-C,1,5
994,7,2,DRY,CLASE B-C,2,5
995,7,2,DRY,CLASE B-C,1,5
996,7,2,DRY,CLASE B-C,1,5
997,7,2,DRY,CLASE B-C,1,5
998,7,2,DRY,CLASE B-C,1,5
999,7,2,DRY,CLASE B-C,4,5
1000,7,2,DRY,CLASE B,1,5
1001,6,2,DRY,CLASE B-C,6,5
1002,6,2,DRY,CLASE B-C,5,5
1003,6,2,DRY,CLASE B-C,5,5
1004,6,2,DRY,CLASE B-C,5,5
1005,6,2,DRY,CLASE B-C,4,5
1006,6,2,DRY,CLASE B-C,4,5
1007,6,2,DRY,CLASE B-C,4,5
1008,6,2,DRY,CLASE B-C,4,5
1009,6,2,DRY,CLASE B-C,4,5
1010,6,2,DRY,CLASE B-C,4,5
1011,6,2,DRY,CLASE B-C,1,5
1012,6,2,DRY,CLASE B-C,1,5
1013,6,2,DRY,CLASE B-C,1,5
1014,6,2,DRY,CLASE B-C,1,5
1015,6,2,DRY,CLASE B-C,1,5
1016,6,2,DRY,CLASE B-C,1,5
1017,2,2,DRY,CLASE B-C,1,5
1018,6,2,DRY,CLASE B-C,1,5
1019,6,2,DRY,CLASE B-C,1,5
1020,6,2,DRY,CLASE B-C,1,5
1021,6,2,DRY,CLASE B-C,1,5
1022,3,2,DRY,CLASE B-C,130,5
1023,1,2,RF,CLASE B-C,112,5
1024,7,2,RF,CLASE B-C,84,5
1025,2,2,RF,CLASE B-C,81,5
1026,1,2,RF,CLASE B-C,79,5
1027,1,2,DRY,CLASE B-C,76,5
1028,1,2,DRY,CLASE B-C,76,5
1029,1,2,DRY,CLASE B-C,76,5
1030,1,2,DRY,CLASE B-C,74,5
1031,1,2,RF,CLASE B-C,80,5
1032,3,2,DRY,CLASE B-C,64,5
1033,3,2,DRY,CLASE B-C,74,5
1034,1,2,DRY,CLASE D,64,5
1035,1,2,DRY,CLASE B-C,62,5
1036,1,2,DRY,CLASE B-C,69,5
1037,1,2,DRY,CLASE B-C,63,5
1038,1,2,DRY,CLASE B-C,63,5
1039,1,2,DRY,CLASE B-C,62,5
1040,1,2,DRY,CLASE B-C,64,5
1041,1,2,DRY,CLASE B-C,63,5
1042,1,2,DRY,CLASE B-C,62,5
1043,4,2,DRY,CLASE B-C,62,5
1044,1,2,DRY,CLASE B-C,53,5
1045,1,1,DRY,INSPECTION,56,5
1046,4,2,DRY,CLASE B-C,63,5
1047,4,2,DRY,CLASE B-C,63,5
1048,4,2,DRY,CLASE B-C,63,5
1049,4,2,DRY,CLASE B-C,62,5
1050,3,2,DRY,CLASE B-C,62,5
1051,3,2,DRY,CLASE B-C,60,5
1052,8,2,RF,CLASE B-C,56,5
1053,8,2,RF,CLASE B-C,57,5
1054,1,2,DRY,CLASE B-C,59,5
1055,9,2,DRY,CLASE B-C,61,5
1056,7,2,RF,CLASE B-C,55,5
1057,7,2,RF,CLASE B-C,55,5
1058,1,2,DRY,CLASE B-C,57,5
1059,1,1,DRY,INSPECTION,52,5
1060,1,2,DRY,CLASE B-C,54,5
1061,1,2,DRY,CLASE B-C,54,5
1062,1,2,DRY,CLASE B-C,53,5
1063,1,2,DRY,CLASE B-C,54,5
1064,1,2,DRY,CLASE B-C,50,5
1065,1,2,DRY,CLASE D,47,5
1066,1,2,DRY,CLASE B-C,54,5
1067,1,2,DRY,CLASE B-C,50,5
1068,1,2,DRY,CLASE B-C,54,5
1069,1,2,DRY,CLASE B-C,50,5
1070,2,2,DRY,CLASE B-C,45,5
1071,2,1,DRY,CLASE B-C,43,5
1072,9,2,DRY,CLASE B-C,46,5
1073,3,2,DRY,CLASE B-C,50,5
1074,6,1,DRY,INSPECTION,46,5
1075,6,1,DRY,INSPECTION,42,5
1076,1,2,DRY,CLASE B-C,50,5
1077,1,2,DRY,CLASE B-C,50,5
1078,1,2,DRY,CLASE B-C,52,5
1079,1,2,DRY,CLASE B-C,50,5
1080,1,2,DRY,CLASE B-C,50,5
1081,1,2,DRY,CLASE B-C,50,5
1082,2,1,DRY,CLASE B-C,43,5
1083,1,1,DRY,INSPECTION,47,5
1084,6,2,DRY,CLASE B-C,1,5
1085,6,2,DRY,CLASE B-C,46,5
1086,6,2,DRY,CLASE B,1,5
1087,6,2,DRY,CLASE B-C,46,5
1088,6,2,DRY,CLASE B-C,1,5
1089,6,2,DRY,CLASE B-C,46,5
1090,1,2,DRY,CLASE B-C,45,5
1091,7,2,RF,CLASE B-C,41,5
1092,2,2,DRY,CLASE B-C,33,5
1093,2,2,DRY,CLASE B-C,28,5
1094,2,2,DRY,CLASE B-C,39,5
1095,2,2,DRY,CLASE B-C,31,5
1096,2,2,DRY,CLASE B-C,33,5
1097,2,2,DRY,CLASE B-C,31,5
1098,2,2,DRY,CLASE B-C,35,5
1099,2,2,DRY,CLASE B-C,29,5
1100,1,2,DRY,CLASE B-C,39,5
1101,1,2,DRY,CLASE B-C,39,5
1102,1,2,RF,CLASE B-C,34,5
1103,1,2,DRY,CLASE B-C,39,5
1104,1,2,DRY,CLASE B-C,39,5
1105,1,1,DRY,INSPECTION,40,5
1106,1,2,RF,CLASE B-C,27,5
1107,1,2,RF,CLASE B-C,24,5
1108,1,2,DRY,CLASE B-C,43,5
1109,3,2,DRY,CLASE A,25,5
1110,3,2,DRY,CLASE A,25,5
1111,3,2,DRY,CLASE B-C,27,5
1112,3,2,DRY,CLASE A,28,5
1113,3,2,DRY,CLASE B-C,21,5
1114,3,2,DRY,CLASE A,25,5
1115,7,2,DRY,CLASE B-C,35,5
1116,7,2,DRY,CLASE B-C,33,5
1117,7,2,DRY,CLASE B-C,32,5
1118,6,1,DRY,INSPECTION,34,5
1119,6,2,DRY,CLASE B-C,31,5
1120,6,2,RF,CLASE B-C,34,5
1121,6,2,RF,CLASE B-C,34,5
1122,6,2,RF,CLASE B-C,28,5
1123,6,2,RF,CLASE B-C,33,5
1124,1,2,RF,CLASE B-C,36,5
1125,1,2,RF,CLASE B-C,35,5
1126,1,2,RF,CLASE B-C,33,5
1127,1,2,DRY,CLASE B-C,22,5
1128,1,2,DRY,CLASE B-C,13,5
1129,2,2,DRY,CLASE B-C,25,5
1130,2,2,DRY,CLASE B-C,25,5
1131,2,2,DRY,CLASE B-C,32,5
1132,2,2,DRY,CLASE B-C,28,5
1133,2,2,DRY,CLASE B-C,25,5
1134,2,2,DRY,CLASE B-C,25,5
1135,2,2,DRY,CLASE B-C,33,5
1136,2,2,DRY,CLASE B-C,26,5
1137,2,2,DRY,CLASE B-C,26,5
1138,2,2,DRY,CLASE B-C,32,5
1139,2,2,DRY,CLASE B-C,28,5
1140,2,2,DRY,CLASE B-C,27,5
1141,2,2,DRY,CLASE B-C,25,5
1142,2,2,DRY,CLASE B-C,25,5
1143,2,2,DRY,CLASE B-C,25,5
1144,2,2,DRY,CLASE B-C,28,5
1145,2,2,DRY,CLASE B-C,32,5
1146,2,2,DRY,CLASE B-C,26,5
1147,2,2,DRY,CLASE B-C,28,5
1148,2,2,DRY,CLASE B-C,26,5
1149,2,2,DRY,CLASE B-C,29,5
1150,2,2,DRY,CLASE B-C,25,5
1151,2,2,DRY,CLASE B-C,29,5
1152,2,2,DRY,CLASE B-C,26,5
1153,2,2,DRY,CLASE B-C,28,5
1154,2,2,DRY,CLASE B,25,5
1155,2,2,DRY,CLASE B-C,25,5
1156,2,2,DRY,CLASE B-C,25,5
1157,2,2,DRY,CLASE B,25,5
1158,2,2,DRY,CLASE B-C,25,5
1159,2,2,DRY,CLASE B,26,5
1160,2,2,DRY,CLASE B-C,25,5
1161,2,2,DRY,CLASE B-C,25,5
1162,2,2,DRY,CLASE B-C,32,5
1163,2,2,DRY,CLASE B-C,25,5
1164,2,2,DRY,CLASE B-C,28,5
1165,2,2,DRY,CLASE B-C,25,5
1166,2,2,DRY,CLASE B-C,28,5
1167,2,2,DRY,CLASE B-C,28,5
1168,2,2,DRY,CLASE B-C,28,5
1169,2,2,DRY,CLASE B-C,25,5
1170,2,2,DRY,CLASE B-C,28,5
1171,2,2,DRY,CLASE B-C,28,5
1172,2,2,DRY,CLASE B-C,25,5
1173,2,2,DRY,CLASE B-C,33,5
1174,2,2,DRY,CLASE B-C,28,5
1175,2,2,DRY,CLASE B-C,28,5
1176,2,2,DRY,CLASE B-C,28,5
1177,2,2,DRY,CLASE B-C,25,5
1178,2,2,DRY,CLASE B-C,29,5
1179,2,2,DRY,CLASE B-C,25,5
1180,2,2,DRY,CLASE B-C,25,5
1181,2,2,DRY,CLASE B-C,28,5
1182,2,2,DRY,CLASE B-C,28,5
1183,2,2,DRY,CLASE B-C,29,5
1184,2,2,DRY,CLASE B-C,28,5
1185,2,2,DRY,CLASE B-C,28,5
1186,2,2,DRY,CLASE B-C,26,5
1187,2,2,DRY,CLASE B-C,26,5
1188,2,2,DRY,CLASE B-C,28,5
1189,2,2,DRY,CLASE B-C,26,5
1190,2,2,DRY,CLASE B-C,25,5
1191,2,2,DRY,CLASE B-C,28,5
1192,2,2,DRY,CLASE B-C,25,5
1193,2,2,DRY,CLASE B-C,32,5
1194,2,2,DRY,CLASE B-C,25,5
1195,2,2,DRY,CLASE B-C,25,5
1196,2,2,DRY,CLASE B-C,26,5
1197,2,2,DRY,CLASE B-C,28,5
1198,2,2,DRY,CLASE B-C,32,5
1199,2,2,DRY,CLASE B-C,25,5
1200,2,2,DRY,CLASE B-C,28,5
1201,2,2,DRY,CLASE B-C,25,5
1202,2,2,DRY,CLASE B-C,28,5
1203,2,2,DRY,CLASE B-C,26,5
1204,2,2,DRY,CLASE B-C,28,5
1205,2,2,DRY,CLASE B-C,25,5
1206,2,2,DRY,CLASE B-C,26,5
1207,2,2,DRY,CLASE B-C,28,5
1208,2,2,DRY,CLASE B-C,29,5
1209,2,2,DRY,CLASE B-C,25,5
1210,2,2,DRY,CLASE B-C,25,5
1211,2,2,DRY,CLASE B-C,32,5
1212,2,2,DRY,CLASE B-C,28,5
1213,2,2,DRY,CLASE B-C,26,5
1214,2,2,DRY,CLASE B-C,25,5
1215,2,2,DRY,CLASE B-C,26,5
1216,2,2,DRY,CLASE B-C,25,5
1217,2,2,DRY,CLASE B-C,25,5
1218,2,2,DRY,CLASE B-C,28,5
1219,2,2,DRY,CLASE B-C,28,5
1220,2,2,DRY,CLASE B-C,29,5
1221,2,2,DRY,CLASE B-C,28,5
1222,2,2,DRY,CLASE B-C,25,5
1223,2,2,DRY,CLASE B-C,28,5
1224,2,2,DRY,CLASE B-C,25,5
1225,2,2,DRY,CLASE B-C,28,5
1226,2,2,DRY,CLASE B-C,28,5
1227,2,2,DRY,CLASE B-C,26,5
1228,2,2,DRY,CLASE B-C,28,5
1229,2,2,DRY,CLASE B-C,26,5
1230,2,2,DRY,CLASE B-C,28,5
1231,2,2,DRY,CLASE B-C,26,5
1232,2,2,DRY,CLASE B-C,25,5
1233,2,2,DRY,CLASE B-C,25,5
1234,2,2,DRY,CLASE B-C,25,5
1235,2,2,DRY,CLASE B-C,25,5
1236,2,2,DRY,CLASE B-C,25,5
1237,2,2,DRY,CLASE B-C,25,5
1238,2,2,DRY,CLASE B-C,31,5
1239,2,2,DRY,CLASE B-C,28,5
1240,2,2,DRY,CLASE B-C,28,5
1241,2,2,DRY,CLASE B-C,25,5
1242,2,2,DRY,CLASE B-C,25,5
1243,2,2,DRY,CLASE B-C,25,5
1244,2,2,DRY,CLASE B-C,26,5
1245,2,2,DRY,CLASE B-C,29,5
1246,2,2,DRY,CLASE B-C,28,5
1247,2,2,DRY,CLASE B-C,28,5
1248,2,2,DRY,CLASE B-C,28,5
1249,2,2,DRY,CLASE B-C,29,5
1250,2,2,DRY,CLASE B-C,26,5
1251,2,2,DRY,CLASE B-C,29,5
1252,2,2,DRY,CLASE D,26,5
1253,2,2,DRY,CLASE B-C,25,5
1254,2,2,DRY,CLASE B-C,28,5
1255,2,2,DRY,CLASE B-C,32,5
1256,2,2,DRY,CLASE B-C,28,5
1257,2,2,DRY,CLASE B-C,32,5
1258,2,2,DRY,CLASE B-C,26,5
1259,2,2,DRY,CLASE B-C,33,5
1260,2,2,DRY,CLASE B-C,29,5
1261,2,2,DRY,CLASE B-C,28,5
1262,2,2,DRY,CLASE B-C,26,5
1263,2,2,DRY,CLASE B-C,29,5
1264,2,2,DRY,CLASE B-C,29,5
1265,2,2,DRY,CLASE B-C,29,5
1266,2,2,DRY,CLASE B-C,28,5
1267,2,2,DRY,CLASE B-C,28,5
1268,2,2,DRY,CLASE B-C,29,5
