Unnamed: 0,Owner,Size,Type,Quality,DaysInDeposit,week
1,1,2,DRY,CLASE B-C,28,5
2,1,2,DRY,CLASE D,29,5
3,2,2,DRY,CLASE B-C,6,5
4,2,1,RF,CLASE A,14,5
