Unnamed: 0,Condition,Owner,Size,Type,Quality,week
0,O,1,2,DRY,CLASE B-C,5
1,O,1,2,DRY,CLASE B-C,5
2,D,2,2,DRY,CLASE B-C,5
3,O,1,2,DRY,CLASE B-C,5
