,Owner,Size,Type,Quality,DaysInDeposit,week
0,6,2,DRY,INSPECTION,7,1
1,6,2,DRY,INSPECTION,39,1
2,6,2,DRY,INSPECTION,39,1
3,6,2,DRY,INSPECTION,39,1
4,6,2,DRY,INSPECTION,39,1
5,6,2,DRY,INSPECTION,39,1
6,1,2,RF,CLASE B-C,50,1
7,6,2,DRY,INSPECTION,39,1
8,6,2,DRY,INSPECTION,24,1
9,1,2,DRY,CLASE B-C,23,1
10,6,2,DRY,INSPECTION,24,1
11,6,2,DRY,INSPECTION,24,1
12,1,2,DRY,CLASE B-C,12,1
13,1,2,DRY,CLASE B-C,4,1
14,6,2,DRY,INSPECTION,39,1
15,1,2,DRY,CLASE D,31,1
16,1,2,DRY,CLASE B-C,24,1
17,1,2,DRY,CLASE B-C,24,1
18,1,2,DRY,CLASE D,24,1
19,9,2,RF,CLASE B-C,21,1
20,1,2,DRY,CLASE B-C,4,1
21,1,2,DRY,CLASE B-C,11,1
22,1,2,DRY,CLASE B-C,11,1
23,1,2,DRY,CLASE B-C,11,1
24,1,2,DRY,CLASE B-C,11,1
25,1,2,DRY,CLASE B-C,11,1
26,1,2,DRY,CLASE B-C,10,1
27,1,2,DRY,CLASE B-C,10,1
28,1,2,DRY,CLASE B-C,10,1
29,1,2,DRY,CLASE B-C,10,1
30,6,2,DRY,INSPECTION,37,1
31,6,2,DRY,INSPECTION,39,1
32,6,2,DRY,INSPECTION,37,1
33,6,2,DRY,INSPECTION,39,1
34,6,2,DRY,INSPECTION,40,1
35,6,2,DRY,INSPECTION,37,1
36,1,2,DRY,CLASE D,31,1
37,1,2,DRY,CLASE D,31,1
38,6,2,DRY,INSPECTION,39,1
39,6,2,DRY,INSPECTION,33,1
40,6,2,DRY,INSPECTION,27,1
41,6,2,RF,CLASE B-C,19,1
42,1,2,DRY,CLASE B-C,24,1
43,1,2,DRY,CLASE B-C,24,1
44,1,2,DRY,CLASE B-C,24,1
45,1,2,DRY,CLASE B-C,17,1
46,1,2,DRY,CLASE B-C,24,1
47,1,2,DRY,CLASE B-C,24,1
48,1,2,DRY,CLASE B-C,24,1
49,1,2,DRY,CLASE B-C,24,1
50,1,2,DRY,CLASE B-C,24,1
51,1,2,DRY,CLASE B-C,24,1
52,1,2,DRY,CLASE B-C,24,1
53,1,2,DRY,CLASE B-C,24,1
54,1,2,DRY,CLASE B-C,24,1
55,9,2,RF,CLASE B-C,21,1
56,6,2,DRY,INSPECTION,15,1
57,1,2,DRY,CLASE B-C,14,1
58,1,2,DRY,CLASE A,14,1
59,1,2,DRY,CLASE A,14,1
60,1,2,DRY,CLASE B-C,14,1
61,1,2,DRY,CLASE B-C,11,1
62,6,2,RF,CLASE B-C,42,1
63,6,2,DRY,INSPECTION,35,1
64,6,2,DRY,INSPECTION,33,1
65,6,2,DRY,CLASE B-C,34,1
66,6,2,DRY,CLASE B-C,33,1
67,6,2,DRY,CLASE B-C,34,1
68,6,2,DRY,INSPECTION,33,1
69,6,2,DRY,INSPECTION,33,1
70,6,2,DRY,CLASE B-C,34,1
71,6,2,DRY,INSPECTION,33,1
72,6,2,DRY,CLASE B-C,34,1
73,6,2,DRY,INSPECTION,33,1
74,6,2,DRY,CLASE B-C,34,1
75,6,2,DRY,CLASE B-C,34,1
76,6,2,DRY,INSPECTION,33,1
77,6,2,DRY,CLASE B-C,34,1
78,6,2,DRY,INSPECTION,33,1
79,6,2,DRY,CLASE B-C,33,1
80,6,2,DRY,INSPECTION,33,1
81,6,2,DRY,INSPECTION,33,1
82,6,2,DRY,INSPECTION,33,1
83,6,2,DRY,INSPECTION,33,1
84,6,2,DRY,CLASE B-C,33,1
85,6,2,DRY,INSPECTION,33,1
86,6,2,DRY,INSPECTION,33,1
87,6,2,RF,CLASE B-C,25,1
88,7,2,RF,CLASE B-C,23,1
89,7,2,RF,CLASE B-C,25,1
90,6,2,DRY,CLASE B-C,21,1
91,6,2,DRY,CLASE B-C,12,1
92,1,2,DRY,CLASE B-C,14,1
93,1,2,DRY,CLASE B-C,14,1
94,1,2,DRY,CLASE B-C,14,1
95,1,2,DRY,CLASE B-C,14,1
96,1,2,DRY,CLASE B-C,14,1
97,1,2,DRY,CLASE D,14,1
98,1,2,DRY,CLASE B-C,14,1
99,1,2,DRY,CLASE B-C,14,1
100,1,2,DRY,CLASE B-C,14,1
101,1,2,DRY,CLASE B-C,14,1
102,1,2,DRY,CLASE B-C,14,1
103,1,2,DRY,CLASE B-C,14,1
104,1,2,DRY,CLASE B-C,14,1
105,1,2,DRY,CLASE B-C,14,1
106,1,2,DRY,CLASE B-C,14,1
107,1,2,DRY,CLASE B-C,14,1
108,1,2,DRY,CLASE A,14,1
109,1,2,DRY,CLASE B-C,14,1
110,1,2,DRY,CLASE B-C,14,1
111,1,2,DRY,CLASE A,14,1
112,1,2,DRY,CLASE B-C,14,1
113,1,2,DRY,CLASE B-C,14,1
114,1,2,DRY,CLASE B-C,14,1
115,1,2,DRY,CLASE A,14,1
116,1,2,DRY,CLASE A,14,1
117,1,2,DRY,CLASE B-C,14,1
118,1,2,DRY,CLASE B-C,14,1
119,1,2,DRY,CLASE B-C,14,1
120,1,2,DRY,CLASE B-C,14,1
121,1,2,DRY,CLASE B-C,14,1
122,2,2,DRY,CLASE B-C,1,1
123,1,2,RF,CLASE B-C,1,1
124,1,2,RF,CLASE B-C,1,1
125,1,2,DRY,CLASE A,3,1
126,1,2,DRY,CLASE B-C,59,1
127,6,2,DRY,CLASE B-C,18,1
128,6,2,DRY,INSPECTION,48,1
129,6,2,DRY,INSPECTION,45,1
130,6,2,DRY,CLASE B-C,45,1
131,9,1,DRY,CLASE B-C,27,1
132,6,2,DRY,INSPECTION,32,1
133,6,2,DRY,CLASE B-C,31,1
134,6,2,DRY,INSPECTION,33,1
135,6,2,DRY,INSPECTION,33,1
136,6,2,DRY,CLASE B-C,33,1
137,2,2,DRY,CLASE B-C,32,1
138,6,2,DRY,INSPECTION,32,1
139,6,2,DRY,INSPECTION,32,1
140,6,2,DRY,INSPECTION,31,1
141,6,2,DRY,INSPECTION,31,1
142,6,2,DRY,INSPECTION,31,1
143,7,2,RF,CLASE B-C,26,1
144,7,2,RF,CLASE B-C,25,1
145,7,2,RF,CLASE B-C,26,1
146,5,2,DRY,CLASE B-C,24,1
147,5,2,DRY,CLASE B-C,24,1
148,5,2,DRY,CLASE B-C,24,1
149,5,2,DRY,CLASE B-C,24,1
150,5,2,DRY,CLASE B-C,24,1
151,5,2,DRY,CLASE B-C,24,1
152,5,2,DRY,CLASE B-C,24,1
153,6,2,DRY,INSPECTION,24,1
154,3,2,DRY,CLASE B-C,20,1
155,3,2,DRY,CLASE A,19,1
156,3,2,DRY,CLASE A,19,1
157,6,2,DRY,INSPECTION,18,1
158,4,2,DRY,CLASE B-C,3,1
159,4,2,DRY,CLASE B-C,4,1
160,9,2,DRY,CLASE B-C,10,1
161,6,2,DRY,CLASE B-C,13,1
162,6,2,DRY,CLASE B-C,13,1
163,6,2,DRY,CLASE B-C,12,1
164,6,2,DRY,CLASE B-C,13,1
165,7,2,DRY,CLASE B-C,14,1
166,7,2,DRY,CLASE B-C,11,1
167,7,2,DRY,CLASE B-C,13,1
168,1,2,DRY,CLASE B-C,14,1
169,1,2,DRY,CLASE B-C,14,1
170,1,2,DRY,CLASE B-C,14,1
171,1,2,DRY,CLASE B-C,14,1
172,7,2,DRY,CLASE B-C,9,1
173,7,2,DRY,CLASE B-C,9,1
174,2,2,DRY,CLASE B-C,1,1
175,2,2,DRY,CLASE B-C,4,1
176,2,2,DRY,CLASE A,4,1
177,2,2,DRY,CLASE B-C,4,1
178,2,2,DRY,CLASE B-C,1,1
179,2,2,DRY,CLASE B-C,1,1
180,2,2,DRY,CLASE B-C,4,1
181,2,2,DRY,CLASE B-C,4,1
182,2,2,DRY,CLASE B-C,1,1
183,2,2,DRY,CLASE B-C,4,1
184,2,2,DRY,CLASE B-C,4,1
185,2,2,DRY,CLASE B-C,4,1
186,2,2,DRY,CLASE B-C,4,1
187,2,2,DRY,CLASE B-C,4,1
188,2,2,DRY,CLASE B-C,4,1
189,2,2,DRY,CLASE B-C,4,1
190,2,2,DRY,CLASE B-C,4,1
191,2,2,DRY,CLASE B-C,4,1
192,2,2,DRY,CLASE B-C,4,1
193,2,2,DRY,CLASE A,3,1
194,2,2,DRY,CLASE B-C,4,1
195,5,2,DRY,CLASE B-C,4,1
196,5,2,DRY,CLASE B-C,9,1
197,5,2,DRY,CLASE B-C,7,1
198,5,2,DRY,CLASE B-C,4,1
199,5,2,DRY,CLASE B-C,9,1
200,5,2,DRY,CLASE B-C,4,1
201,5,2,DRY,CLASE B-C,9,1
202,5,2,DRY,CLASE B-C,4,1
203,5,2,DRY,CLASE B-C,9,1
204,5,2,DRY,CLASE B-C,9,1
205,5,2,DRY,CLASE B-C,9,1
206,5,2,DRY,CLASE B-C,9,1
207,5,2,DRY,CLASE B-C,9,1
208,5,2,DRY,CLASE B-C,9,1
209,7,2,DRY,CLASE B-C,7,1
210,7,2,DRY,CLASE B-C,4,1
211,7,2,DRY,CLASE B-C,5,1
212,7,2,DRY,CLASE B-C,5,1
213,7,2,DRY,CLASE B-C,4,1
214,7,2,DRY,CLASE B-C,5,1
215,7,2,DRY,CLASE B-C,4,1
216,7,2,DRY,CLASE B-C,4,1
217,6,2,DRY,CLASE B-C,3,1
218,6,2,DRY,INSPECTION,1,1
219,6,2,DRY,CLASE B-C,3,1
220,6,2,DRY,CLASE B-C,1,1
221,6,2,DRY,CLASE B-C,1,1
222,6,2,DRY,CLASE B-C,3,1
223,6,2,DRY,CLASE B-C,3,1
224,6,2,DRY,CLASE B-C,3,1
225,6,2,DRY,CLASE B-C,1,1
226,5,2,DRY,CLASE B-C,8,1
227,5,2,DRY,CLASE B-C,8,1
228,5,2,DRY,CLASE B-C,8,1
229,5,2,DRY,CLASE B-C,8,1
230,5,2,DRY,CLASE B-C,8,1
231,1,2,RF,CLASE B-C,4,1
232,1,2,RF,CLASE B-C,1,1
233,1,2,RF,CLASE B-C,1,1
234,1,2,RF,CLASE B-C,1,1
235,1,2,RF,CLASE B-C,1,1
236,1,2,RF,CLASE B-C,1,1
237,1,2,RF,CLASE B-C,1,1
238,1,2,RF,CLASE B-C,1,1
239,1,2,RF,CLASE B-C,1,1
240,1,2,DRY,CLASE B-C,3,1
241,1,2,DRY,CLASE B-C,3,1
242,1,2,DRY,CLASE B-C,3,1
243,1,2,DRY,CLASE B-C,3,1
244,1,2,DRY,CLASE A,3,1
245,1,2,DRY,CLASE B-C,3,1
246,1,2,DRY,CLASE B-C,3,1
247,1,2,DRY,CLASE B-C,3,1
248,1,2,DRY,CLASE B-C,3,1
249,1,2,DRY,CLASE B-C,3,1
250,1,2,DRY,CLASE A,3,1
251,1,2,DRY,CLASE A,3,1
252,1,2,DRY,CLASE B-C,3,1
253,1,2,DRY,CLASE B-C,3,1
254,7,2,DRY,CLASE B-C,264,1
255,2,2,RF,INSPECTION,73,1
256,2,2,RF,INSPECTION,74,1
257,2,2,RF,INSPECTION,52,1
258,1,2,DRY,CLASE B-C,48,1
259,7,2,RF,CLASE B-C,39,1
260,1,2,DRY,CLASE B-C,34,1
261,2,1,DRY,INSPECTION,30,1
