,Owner,Size,Type,Quality,DaysInDeposit,week
144,2,2,DRY,CLASE B-C,65,11
145,2,2,DRY,CLASE B-C,65,11
146,2,2,DRY,CLASE B-C,65,11
147,2,2,DRY,CLASE B-C,65,11
148,2,2,DRY,CLASE B-C,65,11
149,2,2,DRY,CLASE B-C,65,11
150,2,2,DRY,CLASE B-C,65,11
151,2,2,DRY,CLASE B-C,65,11
152,2,2,DRY,CLASE B-C,65,11
153,2,2,DRY,CLASE B-C,65,11
154,2,2,DRY,CLASE B-C,65,11
155,2,2,DRY,CLASE B-C,65,11
156,2,2,DRY,CLASE B-C,65,11
157,2,2,DRY,CLASE B-C,65,11
158,2,2,DRY,INSPECTION,65,11
159,2,2,DRY,CLASE B-C,63,11
160,2,2,DRY,CLASE B-C,63,11
161,2,2,DRY,CLASE B-C,63,11
162,6,2,DRY,CLASE B-C,58,11
163,6,2,DRY,CLASE B-C,56,11
164,6,2,DRY,CLASE B-C,58,11
165,9,2,RF,CLASE B-C,47,11
166,2,1,DRY,CLASE D,28,11
167,6,2,DRY,CLASE B-C,29,11
168,6,2,DRY,CLASE D,33,11
169,6,2,DRY,CLASE B-C,33,11
170,2,2,RF,CLASE B-C,26,11
171,2,2,RF,CLASE B-C,26,11
172,2,2,RF,CLASE B-C,26,11
173,2,2,RF,CLASE B-C,26,11
174,2,2,RF,CLASE B-C,26,11
175,2,2,RF,CLASE B-C,26,11
176,2,2,RF,CLASE B-C,26,11
177,2,2,RF,CLASE B-C,26,11
178,2,2,RF,CLASE B-C,26,11
179,2,2,RF,CLASE B-C,26,11
180,2,2,RF,CLASE B-C,26,11
181,7,2,DRY,CLASE B-C,26,11
182,7,2,DRY,CLASE B-C,12,11
183,7,2,DRY,CLASE B-C,25,11
184,2,2,DRY,CLASE B-C,20,11
185,2,2,DRY,CLASE B-C,20,11
186,2,2,DRY,CLASE B-C,20,11
187,2,2,DRY,CLASE B-C,20,11
188,6,2,DRY,CLASE B-C,18,11
189,7,2,DRY,CLASE B-C,12,11
190,7,2,RF,CLASE B-C,12,11
191,7,2,RF,CLASE B-C,12,11
192,7,2,DRY,CLASE B-C,12,11
193,7,2,DRY,CLASE B-C,12,11
194,7,2,RF,CLASE B-C,12,11
195,7,2,RF,CLASE B-C,12,11
196,7,2,RF,CLASE B-C,9,11
197,7,2,DRY,CLASE B-C,12,11
198,7,2,RF,CLASE B-C,11,11
199,7,2,DRY,CLASE B-C,19,11
200,7,2,DRY,CLASE B-C,12,11
201,7,2,RF,CLASE B-C,12,11
202,7,2,DRY,CLASE B-C,19,11
203,2,2,DRY,CLASE B-C,6,11
204,2,2,DRY,CLASE B-C,6,11
205,2,2,DRY,CLASE B-C,6,11
206,2,2,DRY,CLASE B-C,6,11
207,2,2,DRY,CLASE B-C,6,11
208,2,2,DRY,CLASE B-C,6,11
209,2,2,DRY,CLASE B-C,6,11
210,2,2,DRY,CLASE B-C,6,11
211,2,2,DRY,CLASE B-C,6,11
212,2,2,DRY,CLASE B-C,6,11
213,2,2,DRY,CLASE B-C,6,11
214,2,2,DRY,CLASE B-C,6,11
215,2,2,DRY,CLASE B-C,6,11
216,2,2,DRY,CLASE B-C,6,11
217,2,2,DRY,CLASE B-C,6,11
218,2,2,DRY,CLASE B-C,6,11
219,2,2,DRY,CLASE B-C,6,11
220,2,2,DRY,CLASE B-C,1,11
221,2,2,DRY,CLASE B-C,6,11
222,2,2,DRY,CLASE B-C,6,11
223,2,2,DRY,CLASE B-C,6,11
224,2,2,DRY,CLASE B-C,1,11
225,7,2,DRY,CLASE B-C,10,11
226,7,2,DRY,CLASE B-C,8,11
227,7,2,DRY,CLASE B-C,1,11
228,7,2,RF,INSPECTION,3,11
229,7,2,RF,CLASE B-C,3,11
230,7,2,DRY,CLASE B,8,11
231,7,2,DRY,CLASE B-C,8,11
232,7,2,DRY,CLASE A,2,11
233,7,2,DRY,CLASE B-C,8,11
234,7,2,DRY,CLASE B-C,10,11
235,7,2,DRY,CLASE B-C,8,11
236,7,2,DRY,CLASE B-C,2,11
237,7,2,DRY,CLASE B-C,10,11
238,7,2,RF,CLASE B-C,3,11
239,7,2,RF,CLASE B-C,3,11
240,7,2,RF,CLASE B-C,11,11
241,7,2,RF,CLASE B-C,3,11
242,7,2,RF,CLASE B-C,3,11
243,7,2,DRY,CLASE B-C,2,11
244,7,2,DRY,CLASE B-C,10,11
245,7,2,DRY,CLASE B-C,8,11
246,2,2,DRY,CLASE B-C,7,11
247,2,2,DRY,CLASE B-C,7,11
248,2,2,DRY,CLASE B-C,7,11
249,6,2,DRY,CLASE B-C,8,11
250,2,2,DRY,CLASE B-C,3,11
251,2,2,DRY,CLASE B-C,3,11
252,2,2,DRY,CLASE B-C,3,11
253,2,2,DRY,CLASE B-C,3,11
254,3,2,DRY,CLASE B-C,114,11
255,3,2,DRY,CLASE B-C,114,11
256,3,2,DRY,CLASE B-C,114,11
257,3,2,DRY,CLASE B-C,114,11
258,3,2,DRY,CLASE B-C,114,11
259,3,2,DRY,CLASE B-C,114,11
260,3,2,DRY,CLASE B-C,114,11
261,3,2,DRY,CLASE B-C,114,11
262,3,2,DRY,CLASE B-C,114,11
263,3,2,DRY,CLASE B-C,114,11
264,3,2,DRY,CLASE B-C,113,11
265,3,2,DRY,CLASE B-C,100,11
266,3,2,DRY,CLASE B-C,100,11
267,3,2,DRY,CLASE B-C,100,11
268,3,2,DRY,CLASE B-C,100,11
269,3,2,DRY,CLASE B-C,100,11
270,3,2,DRY,CLASE D,99,11
271,3,2,DRY,CLASE B-C,98,11
272,3,2,DRY,CLASE B-C,98,11
273,3,2,DRY,CLASE B-C,98,11
274,3,2,DRY,CLASE B-C,96,11
275,3,2,DRY,CLASE B-C,66,11
276,3,2,DRY,CLASE B-C,66,11
277,3,2,DRY,CLASE B-C,66,11
278,3,2,DRY,CLASE B-C,66,11
279,3,2,DRY,CLASE B-C,66,11
280,3,2,DRY,CLASE B-C,66,11
281,3,2,DRY,CLASE B-C,66,11
282,3,2,DRY,CLASE B-C,62,11
283,2,2,DRY,CLASE B-C,65,11
284,2,2,DRY,CLASE B-C,65,11
285,2,2,DRY,CLASE B-C,66,11
286,2,2,DRY,CLASE B-C,65,11
287,2,2,DRY,CLASE B-C,65,11
288,2,2,DRY,CLASE B-C,65,11
289,2,2,DRY,CLASE B-C,66,11
290,2,2,DRY,CLASE B-C,66,11
291,2,2,DRY,CLASE B-C,65,11
292,2,2,DRY,CLASE B-C,65,11
293,2,2,DRY,CLASE B-C,65,11
294,2,2,DRY,CLASE B-C,66,11
295,2,2,DRY,CLASE B-C,65,11
296,2,2,DRY,CLASE B-C,65,11
297,2,2,DRY,CLASE B-C,66,11
298,2,2,DRY,CLASE B-C,68,11
299,2,2,DRY,CLASE B-C,65,11
300,2,2,DRY,CLASE B-C,66,11
301,3,2,DRY,CLASE B-C,67,11
302,2,2,DRY,CLASE B-C,61,11
303,2,2,DRY,CLASE B-C,61,11
304,2,2,DRY,CLASE B-C,61,11
305,2,2,DRY,CLASE B-C,61,11
306,6,2,DRY,CLASE B-C,30,11
307,6,2,DRY,CLASE B-C,30,11
308,6,2,RF,CLASE B-C,30,11
309,7,2,DRY,CLASE B-C,41,11
310,7,2,DRY,CLASE B-C,40,11
311,7,2,DRY,CLASE B-C,2,11
312,2,2,RF,CLASE B-C,27,11
313,2,2,DRY,CLASE B-C,39,11
314,2,2,RF,CLASE B-C,27,11
315,7,2,DRY,CLASE B-C,23,11
316,7,2,DRY,CLASE B-C,2,11
317,4,2,DRY,CLASE B-C,22,11
318,9,2,DRY,CLASE B-C,26,11
319,3,2,DRY,CLASE B-C,33,11
320,6,2,DRY,CLASE A,32,11
321,3,2,DRY,CLASE B-C,29,11
322,3,2,DRY,CLASE B-C,29,11
323,7,2,DRY,CLASE B-C,26,11
324,3,2,DRY,CLASE B-C,28,11
325,4,2,DRY,CLASE B-C,21,11
326,9,2,DRY,CLASE B-C,20,11
327,9,2,DRY,CLASE B-C,20,11
328,9,2,DRY,CLASE B-C,21,11
329,2,2,DRY,CLASE B-C,6,11
330,2,2,DRY,CLASE B-C,6,11
331,2,2,DRY,CLASE B-C,6,11
332,2,2,DRY,CLASE B-C,6,11
333,2,2,DRY,CLASE B-C,6,11
334,2,2,DRY,CLASE B-C,6,11
335,2,2,DRY,CLASE B-C,6,11
336,6,2,DRY,CLASE A,19,11
337,7,2,DRY,CLASE A,20,11
338,7,2,RF,CLASE B-C,10,11
339,7,2,DRY,CLASE A,17,11
340,7,2,DRY,CLASE B-C,8,11
341,7,2,RF,CLASE B-C,10,11
342,7,2,RF,CLASE B-C,10,11
343,7,2,RF,CLASE B-C,16,11
344,7,2,RF,CLASE B-C,13,11
345,7,2,DRY,CLASE A,20,11
346,7,2,DRY,CLASE A,20,11
347,7,2,RF,CLASE B-C,18,11
348,2,2,DRY,CLASE B-C,6,11
349,2,2,DRY,CLASE B-C,6,11
350,2,2,DRY,CLASE B-C,6,11
351,2,2,DRY,CLASE B-C,6,11
352,2,2,DRY,CLASE B-C,6,11
353,2,2,DRY,CLASE B-C,6,11
354,2,2,DRY,CLASE B-C,6,11
355,2,2,DRY,CLASE B-C,6,11
356,2,2,DRY,CLASE B-C,18,11
357,2,2,DRY,CLASE B-C,16,11
358,2,2,DRY,CLASE B-C,16,11
359,2,2,DRY,CLASE B-C,18,11
360,2,2,DRY,CLASE B-C,16,11
361,2,2,DRY,CLASE B-C,6,11
362,2,2,DRY,CLASE B-C,6,11
363,2,2,DRY,CLASE B-C,6,11
364,2,2,DRY,CLASE B-C,6,11
365,2,2,DRY,CLASE B-C,18,11
366,2,2,DRY,CLASE B-C,6,11
367,2,2,DRY,CLASE B-C,6,11
368,2,2,DRY,CLASE B-C,16,11
369,2,2,DRY,CLASE B-C,18,11
370,2,2,DRY,CLASE B-C,16,11
371,2,2,DRY,CLASE B-C,6,11
372,2,2,DRY,CLASE B-C,6,11
373,2,2,DRY,CLASE B-C,18,11
374,2,2,DRY,CLASE B-C,6,11
375,2,2,DRY,CLASE B-C,6,11
376,2,2,DRY,CLASE B-C,6,11
377,2,2,DRY,CLASE B-C,6,11
378,2,2,DRY,CLASE B-C,16,11
379,2,2,DRY,CLASE D,18,11
380,2,2,DRY,CLASE B-C,6,11
381,3,2,DRY,CLASE D,4,11
382,3,2,DRY,CLASE B-C,4,11
383,3,2,DRY,CLASE B-C,12,11
384,7,2,DRY,CLASE B-C,2,11
385,7,2,DRY,CLASE B-C,1,11
386,7,2,DRY,CLASE B-C,2,11
387,7,2,DRY,CLASE B-C,1,11
388,7,2,DRY,CLASE B-C,2,11
389,7,2,DRY,CLASE B-C,2,11
390,7,2,DRY,CLASE B-C,1,11
391,7,2,DRY,CLASE B-C,2,11
392,7,2,DRY,CLASE B-C,1,11
393,7,2,DRY,CLASE B-C,2,11
394,7,2,DRY,CLASE B-C,2,11
395,7,2,DRY,CLASE B-C,10,11
396,7,2,DRY,CLASE B-C,2,11
397,7,2,DRY,CLASE A,2,11
398,7,2,DRY,CLASE A,2,11
399,7,2,DRY,CLASE A,1,11
400,7,2,DRY,CLASE B-C,1,11
401,7,2,DRY,CLASE B-C,1,11
402,7,2,DRY,CLASE B-C,2,11
403,7,2,DRY,CLASE B-C,2,11
404,7,2,DRY,CLASE B-C,2,11
405,7,2,DRY,CLASE B-C,2,11
406,7,2,DRY,CLASE B-C,1,11
407,7,2,DRY,CLASE B-C,2,11
408,7,2,DRY,CLASE B-C,2,11
409,7,2,DRY,CLASE B-C,2,11
410,7,2,DRY,CLASE B-C,2,11
411,7,2,DRY,CLASE B-C,1,11
412,7,2,DRY,CLASE B-C,2,11
413,7,2,DRY,CLASE B-C,2,11
414,7,2,DRY,CLASE B-C,2,11
415,7,2,DRY,CLASE B-C,2,11
416,7,2,DRY,CLASE B-C,10,11
417,7,2,DRY,CLASE B,1,11
418,7,2,DRY,CLASE A,1,11
419,7,2,DRY,CLASE A,2,11
420,7,2,DRY,CLASE B-C,2,11
421,7,2,DRY,CLASE B-C,2,11
422,7,2,DRY,CLASE A,4,11
423,7,2,DRY,CLASE B-C,2,11
424,7,2,DRY,CLASE B,11,11
425,7,2,DRY,CLASE B-C,2,11
426,7,2,DRY,CLASE B-C,1,11
427,7,2,DRY,CLASE B-C,1,11
428,7,2,DRY,CLASE B-C,2,11
429,7,2,DRY,CLASE B-C,1,11
430,7,2,DRY,CLASE B-C,1,11
431,7,2,RF,CLASE B-C,12,11
432,7,2,DRY,CLASE B-C,11,11
433,7,2,DRY,CLASE B-C,10,11
434,7,2,DRY,CLASE A,2,11
435,7,2,DRY,CLASE A,1,11
436,7,2,DRY,CLASE B-C,2,11
437,7,2,DRY,CLASE B-C,1,11
438,2,2,DRY,CLASE B-C,2,11
439,2,2,DRY,CLASE B-C,2,11
440,2,2,DRY,CLASE B-C,2,11
441,2,2,DRY,CLASE B-C,6,11
442,2,2,DRY,CLASE B-C,1,11
443,2,2,DRY,CLASE B-C,2,11
444,2,2,DRY,CLASE B-C,1,11
445,2,2,DRY,CLASE B-C,1,11
446,2,2,DRY,CLASE B-C,2,11
447,2,2,DRY,CLASE B-C,1,11
448,2,2,DRY,CLASE B-C,2,11
449,2,2,DRY,CLASE B-C,2,11
450,2,2,DRY,CLASE B-C,2,11
451,2,2,DRY,CLASE B-C,1,11
452,2,2,DRY,CLASE B-C,6,11
453,2,2,DRY,CLASE B-C,2,11
454,2,2,DRY,CLASE B-C,2,11
455,2,2,DRY,CLASE B-C,2,11
456,2,2,DRY,CLASE B-C,1,11
457,2,2,DRY,CLASE B-C,2,11
458,2,2,DRY,CLASE B-C,2,11
459,2,2,DRY,CLASE B-C,2,11
460,2,2,DRY,CLASE B-C,2,11
461,2,2,DRY,CLASE B-C,2,11
462,2,2,DRY,CLASE B-C,2,11
463,2,2,DRY,CLASE B-C,2,11
464,2,2,DRY,CLASE B-C,2,11
465,2,2,DRY,CLASE B-C,2,11
466,2,2,DRY,CLASE B-C,1,11
467,2,2,DRY,CLASE B,2,11
468,2,2,DRY,CLASE B-C,6,11
469,2,2,DRY,CLASE B-C,1,11
470,2,2,DRY,CLASE B-C,2,11
471,2,2,DRY,CLASE B-C,1,11
472,2,2,DRY,CLASE B-C,6,11
473,2,2,DRY,CLASE B-C,2,11
474,2,2,DRY,CLASE B-C,6,11
475,2,2,DRY,CLASE B-C,2,11
476,2,2,DRY,CLASE B-C,2,11
477,2,2,DRY,CLASE B-C,2,11
478,2,2,DRY,CLASE B-C,2,11
479,2,2,DRY,CLASE B-C,2,11
480,2,2,DRY,CLASE B-C,2,11
481,2,2,DRY,CLASE B-C,2,11
482,2,2,DRY,CLASE B-C,1,11
483,2,2,DRY,CLASE B-C,1,11
