,Owner,Size,Type,Quality,DaysInDeposit,week
0,6,2,DRY,CLASE B-C,38,16
1,6,2,DRY,CLASE B-C,38,16
2,7,2,DRY,CLASE B-C,3,16
3,7,2,DRY,CLASE B-C,3,16
4,7,2,DRY,CLASE B-C,3,16
5,7,2,DRY,CLASE B-C,3,16
6,6,2,DRY,CLASE B-C,11,16
7,6,2,DRY,CLASE B-C,11,16
8,6,2,DRY,CLASE B-C,11,16
9,6,2,DRY,CLASE B-C,11,16
10,7,2,DRY,CLASE B-C,3,16
11,7,2,DRY,CLASE B-C,3,16
12,7,2,DRY,CLASE B-C,3,16
13,2,2,RF,CLASE B-C,5,16
14,3,2,DRY,CLASE B-C,22,16
15,6,2,RF,CLASE B-C,20,16
16,6,2,DRY,CLASE B-C,1,16
17,6,2,DRY,CLASE B-C,12,16
18,6,2,DRY,CLASE B-C,12,16
19,6,2,DRY,CLASE B-C,12,16
20,7,2,DRY,CLASE B-C,8,16
21,7,2,DRY,CLASE B-C,8,16
22,7,2,DRY,CLASE B-C,9,16
23,7,2,DRY,CLASE B-C,3,16
24,7,2,DRY,CLASE B-C,3,16
25,7,2,DRY,CLASE B-C,2,16
26,7,2,DRY,CLASE B-C,3,16
27,7,2,DRY,CLASE B-C,3,16
28,7,2,DRY,CLASE B-C,3,16
29,7,2,DRY,CLASE B-C,2,16
30,6,2,RF,CLASE B-C,20,16
31,2,2,RF,CLASE B-C,16,16
32,2,2,DRY,CLASE B-C,17,16
33,6,2,DRY,CLASE B-C,12,16
34,6,2,DRY,CLASE B-C,12,16
35,6,2,DRY,CLASE B-C,12,16
36,6,2,DRY,CLASE B-C,12,16
37,6,2,DRY,CLASE B-C,12,16
38,6,2,DRY,CLASE B-C,12,16
39,7,2,DRY,CLASE B-C,2,16
40,7,2,DRY,CLASE B-C,2,16
41,7,2,DRY,CLASE B-C,9,16
42,7,2,DRY,CLASE B-C,2,16
43,7,2,DRY,CLASE B-C,2,16
44,7,2,DRY,CLASE B-C,2,16
45,7,2,DRY,CLASE B-C,2,16
46,7,2,DRY,CLASE B-C,5,16
