,Condition,Owner,Size,Type,Quality,week
145,O,2,2,DRY,CLASE B-C,1
146,O,2,2,DRY,CLASE B-C,1
147,D,2,2,DRY,CLASE B-C,1
148,O,2,2,DRY,CLASE B-C,1
149,O,2,2,DRY,CLASE B-C,1
150,O,5,2,DRY,CLASE B-C,1
151,O,5,2,DRY,CLASE B-C,1
152,O,5,2,DRY,CLASE B-C,1
153,O,5,2,DRY,CLASE B-C,1
154,O,5,2,DRY,CLASE B-C,1
155,O,5,2,DRY,CLASE B-C,1
156,O,5,2,DRY,CLASE B-C,1
157,O,5,2,DRY,CLASE B-C,1
158,D,1,2,RF,CLASE B-C,1
159,I,1,2,RF,CLASE B-C,1
160,O,1,2,RF,CLASE B-C,1
161,I,1,1,DRY,INSPECTION,1
162,I,1,1,DRY,INSPECTION,1
163,I,1,2,RF,CLASE B-C,1
164,D,1,2,RF,CLASE B-C,1
165,I,1,2,RF,CLASE B-C,1
166,O,1,2,DRY,CLASE B-C,1
167,O,1,2,DRY,CLASE B-C,1
168,I,1,2,RF,CLASE B-C,1
169,O,1,2,RF,CLASE B-C,1
170,D,1,2,RF,CLASE B-C,1
171,I,1,1,DRY,INSPECTION,1
172,I,1,1,DRY,INSPECTION,1
173,I,1,1,DRY,INSPECTION,1
174,D,1,2,RF,CLASE B-C,1
175,O,1,2,DRY,CLASE B-C,1
176,O,1,2,DRY,CLASE B-C,1
177,O,1,2,RF,CLASE B-C,1
178,I,1,2,RF,CLASE B-C,1
179,O,1,2,RF,CLASE B-C,1
180,D,1,2,RF,CLASE B-C,1
181,I,1,2,RF,CLASE B-C,1
182,I,1,2,RF,INSPECTION,1
183,O,1,2,RF,CLASE B-C,1
184,I,1,2,RF,CLASE B-C,1
185,D,1,2,RF,CLASE B-C,1
186,D,1,2,DRY,CLASE B-C,1
187,O,1,2,DRY,CLASE B-C,1
188,D,3,2,DRY,CLASE B-C,1
189,O,3,2,DRY,CLASE B-C,1
190,D,3,2,DRY,CLASE D,1
191,O,3,2,DRY,CLASE B-C,1
192,O,3,2,DRY,CLASE B-C,1
193,O,3,2,DRY,CLASE B-C,1
194,O,3,2,DRY,CLASE B-C,1
195,O,3,2,DRY,CLASE B-C,1
196,O,3,2,DRY,CLASE B-C,1
197,O,3,2,DRY,CLASE B-C,1
198,O,3,2,DRY,CLASE B-C,1
199,O,3,2,DRY,CLASE B-C,1
200,O,3,2,DRY,CLASE B-C,1
201,O,3,2,DRY,CLASE B-C,1
202,O,3,2,DRY,CLASE B-C,1
203,O,3,2,DRY,CLASE B-C,1
204,O,3,2,DRY,CLASE B-C,1
205,O,3,2,DRY,CLASE B-C,1
206,I,3,2,DRY,INSPECTION,1
207,O,3,2,DRY,CLASE B-C,1
208,I,3,2,DRY,INSPECTION,1
209,O,3,2,DRY,CLASE B-C,1
210,D,3,2,DRY,CLASE B-C,1
211,O,3,2,DRY,CLASE B-C,1
212,O,3,2,DRY,CLASE B-C,1
213,O,3,2,DRY,CLASE A,1
214,O,3,2,DRY,CLASE B-C,1
215,O,3,2,DRY,CLASE B-C,1
216,O,3,2,DRY,CLASE B-C,1
217,O,3,2,DRY,CLASE B-C,1
218,D,3,2,DRY,CLASE B-C,1
219,O,3,2,DRY,CLASE B-C,1
220,O,3,2,DRY,CLASE B-C,1
221,D,3,2,DRY,CLASE B-C,1
222,O,3,2,DRY,CLASE B-C,1
223,O,3,2,DRY,CLASE B-C,1
224,O,3,2,DRY,CLASE B-C,1
225,O,3,2,DRY,CLASE B-C,1
226,O,3,2,DRY,CLASE B-C,1
227,O,3,2,DRY,CLASE B-C,1
228,O,3,2,DRY,CLASE B-C,1
229,O,3,2,DRY,CLASE B-C,1
230,D,3,2,DRY,CLASE B-C,1
231,O,3,2,DRY,CLASE B-C,1
232,O,3,2,DRY,CLASE B-C,1
233,O,3,2,DRY,CLASE B-C,1
234,O,3,2,DRY,CLASE B-C,1
235,O,3,2,DRY,CLASE B-C,1
236,D,3,2,DRY,CLASE B-C,1
237,I,3,1,DRY,INSPECTION,1
238,O,3,2,DRY,CLASE B-C,1
239,O,3,2,DRY,CLASE B-C,1
240,O,3,2,DRY,CLASE B-C,1
241,O,3,2,DRY,CLASE B-C,1
242,O,3,2,DRY,CLASE B-C,1
243,O,3,2,DRY,CLASE B-C,1
244,O,3,2,DRY,CLASE B-C,1
245,O,3,2,DRY,CLASE B-C,1
246,O,3,2,DRY,CLASE B-C,1
247,O,3,2,DRY,CLASE B-C,1
248,O,3,2,DRY,CLASE B-C,1
249,O,3,2,DRY,CLASE B-C,1
250,O,3,2,DRY,CLASE B-C,1
251,O,3,2,DRY,CLASE B,1
252,O,3,2,DRY,CLASE A,1
253,O,3,2,DRY,CLASE A,1
254,O,3,2,DRY,CLASE A,1
255,O,3,2,DRY,CLASE B,1
256,O,3,2,DRY,CLASE B,1
257,O,3,2,DRY,CLASE A,1
258,O,3,2,DRY,CLASE B,1
259,O,3,2,DRY,CLASE B-C,1
260,D,3,2,DRY,CLASE B-C,1
261,O,3,2,DRY,CLASE B-C,1
262,O,3,2,DRY,CLASE B-C,1
263,O,3,2,DRY,CLASE B-C,1
264,O,3,2,DRY,CLASE B-C,1
265,O,3,2,DRY,CLASE B-C,1
266,O,3,2,DRY,CLASE B-C,1
267,O,3,2,DRY,CLASE B-C,1
268,O,3,2,DRY,CLASE B-C,1
269,O,3,2,DRY,CLASE B-C,1
270,O,3,2,DRY,CLASE B-C,1
271,D,3,2,DRY,CLASE B-C,1
272,O,3,2,DRY,CLASE B-C,1
273,O,3,2,DRY,CLASE B-C,1
274,O,3,2,DRY,CLASE B-C,1
275,D,3,2,DRY,CLASE B-C,1
276,O,3,2,DRY,CLASE B-C,1
277,O,3,2,DRY,CLASE B-C,1
278,O,3,2,DRY,CLASE B-C,1
279,O,3,2,DRY,CLASE B-C,1
280,O,3,2,DRY,CLASE B-C,1
281,O,3,2,DRY,CLASE B-C,1
282,O,3,2,DRY,CLASE B-C,1
283,O,3,2,DRY,CLASE B-C,1
284,O,3,2,DRY,CLASE B-C,1
285,O,3,2,DRY,CLASE B-C,1
286,O,3,2,DRY,CLASE B-C,1
287,O,8,1,DRY,CLASE B-C,1
288,I,8,1,DRY,INSPECTION,1
289,I,8,1,DRY,INSPECTION,1
290,D,7,2,DRY,CLASE B-C,1
291,O,7,2,DRY,CLASE B-C,1
292,O,7,2,DRY,CLASE B-C,1
293,O,7,2,DRY,CLASE B-C,1
294,O,7,2,DRY,CLASE B-C,1
295,O,7,2,DRY,CLASE B-C,1
296,O,7,2,DRY,CLASE B-C,1
297,O,7,2,DRY,CLASE B-C,1
298,O,7,2,DRY,CLASE B-C,1
299,O,7,2,DRY,CLASE B-C,1
300,O,7,2,DRY,CLASE B-C,1
301,O,7,2,DRY,CLASE B-C,1
302,O,7,2,DRY,CLASE B-C,1
303,O,7,2,DRY,CLASE B-C,1
304,O,7,2,DRY,CLASE B-C,1
305,O,7,2,DRY,CLASE B-C,1
306,O,7,2,DRY,CLASE B-C,1
307,O,7,2,DRY,CLASE B-C,1
308,O,7,2,DRY,CLASE D,1
309,O,7,2,DRY,CLASE B-C,1
310,O,7,2,DRY,CLASE B-C,1
311,D,7,2,DRY,CLASE B-C,1
312,O,7,2,DRY,CLASE B-C,1
313,O,7,2,DRY,CLASE B-C,1
314,O,7,2,DRY,CLASE B-C,1
315,O,7,2,DRY,CLASE B-C,1
316,O,7,2,DRY,CLASE B-C,1
317,O,7,2,DRY,CLASE B-C,1
318,O,7,2,DRY,CLASE B-C,1
319,O,7,2,DRY,CLASE B-C,1
320,O,7,2,DRY,CLASE B-C,1
321,O,7,2,DRY,CLASE B-C,1
322,O,7,2,DRY,CLASE B-C,1
323,O,7,2,DRY,CLASE B-C,1
324,O,7,2,DRY,CLASE A,1
325,I,7,2,DRY,INSPECTION,1
326,O,7,2,DRY,CLASE B-C,1
327,O,7,2,DRY,CLASE B-C,1
328,O,7,2,DRY,CLASE B-C,1
329,O,7,2,DRY,CLASE B-C,1
330,O,7,2,DRY,CLASE B-C,1
331,O,7,2,DRY,CLASE B-C,1
332,O,7,2,DRY,CLASE B-C,1
333,O,7,2,DRY,CLASE B-C,1
334,D,7,2,DRY,CLASE B-C,1
335,O,7,2,DRY,CLASE B-C,1
336,D,7,2,DRY,CLASE B-C,1
337,O,7,2,DRY,CLASE B-C,1
338,O,7,2,DRY,CLASE B-C,1
339,O,7,2,DRY,CLASE B-C,1
340,O,7,2,DRY,CLASE B-C,1
341,O,7,2,DRY,CLASE B-C,1
342,O,7,2,DRY,CLASE B-C,1
343,O,7,2,DRY,CLASE B-C,1
344,O,7,2,DRY,CLASE B-C,1
345,D,7,2,DRY,CLASE B-C,1
346,D,7,2,DRY,CLASE B-C,1
347,I,7,2,DRY,INSPECTION,1
348,O,7,2,DRY,CLASE B-C,1
349,D,7,2,DRY,CLASE B-C,1
350,O,7,2,DRY,CLASE B-C,1
351,O,7,2,DRY,CLASE D,1
352,O,7,2,DRY,CLASE B-C,1
353,O,7,2,DRY,CLASE B,1
354,O,7,2,DRY,CLASE B,1
355,O,7,2,DRY,CLASE B-C,1
