,Owner,Size,Type,Quality,DaysInDeposit,week
0,1,2,DRY,CLASE B-C,56,6
1,2,2,DRY,CLASE B-C,2,6
2,9,2,DRY,CLASE B-C,45,6
3,1,2,DRY,CLASE B-C,18,6
4,2,2,DRY,CLASE B-C,2,6
5,2,2,DRY,CLASE B-C,2,6
6,4,2,DRY,CLASE B-C,63,6
7,9,2,DRY,CLASE B-C,42,6
8,9,2,DRY,CLASE B-C,42,6
9,2,2,DRY,CLASE B-C,28,6
10,2,2,DRY,CLASE B-C,2,6
11,2,2,DRY,CLASE B-C,2,6
12,2,2,DRY,CLASE B-C,2,6
13,2,2,DRY,CLASE B-C,2,6
14,9,2,DRY,CLASE B-C,63,6
15,1,2,DRY,CLASE D,49,6
16,1,2,DRY,CLASE D,56,6
17,1,2,DRY,CLASE D,48,6
18,9,2,DRY,CLASE B-C,46,6
19,1,2,DRY,CLASE B-C,25,6
20,1,2,DRY,CLASE B-C,18,6
21,1,2,DRY,CLASE B-C,18,6
22,2,2,DRY,CLASE B-C,2,6
23,2,2,DRY,CLASE B-C,2,6
24,2,2,DRY,CLASE B-C,1,6
25,2,2,DRY,CLASE B-C,2,6
26,2,2,DRY,CLASE B-C,1,6
27,2,2,DRY,CLASE B-C,2,6
28,2,2,DRY,CLASE B-C,2,6
29,2,2,DRY,CLASE B-C,2,6
30,6,2,DRY,CLASE B-C,1,6
31,6,2,DRY,CLASE B-C,4,6
32,6,2,DRY,CLASE B-C,50,6
33,6,2,DRY,CLASE B-C,50,6
34,6,2,DRY,CLASE B-C,50,6
35,6,2,DRY,CLASE B-C,50,6
36,6,2,DRY,CLASE B-C,4,6
37,6,2,DRY,CLASE B-C,50,6
38,2,2,DRY,CLASE B-C,28,6
39,2,2,DRY,CLASE B-C,28,6
40,2,2,DRY,CLASE B-C,28,6
41,2,2,DRY,CLASE B-C,28,6
42,2,2,DRY,CLASE B-C,28,6
43,2,2,DRY,CLASE B-C,28,6
44,2,2,DRY,CLASE B-C,28,6
45,2,2,DRY,CLASE B-C,28,6
46,1,2,DRY,CLASE B-C,18,6
47,6,2,DRY,CLASE B-C,4,6
48,2,2,DRY,CLASE B-C,2,6
49,2,2,RF,CLASE B-C,3,6
50,2,2,DRY,CLASE B-C,2,6
51,2,2,DRY,CLASE B-C,2,6
52,2,2,DRY,CLASE B-C,2,6
53,2,2,DRY,CLASE B-C,2,6
54,2,2,DRY,CLASE B-C,1,6
55,2,2,DRY,CLASE B-C,2,6
56,2,2,DRY,CLASE B-C,2,6
57,2,2,DRY,CLASE B-C,2,6
58,2,2,DRY,CLASE B-C,2,6
59,2,2,DRY,CLASE B-C,2,6
60,2,2,DRY,CLASE B-C,2,6
61,2,2,DRY,CLASE B-C,1,6
62,2,2,DRY,CLASE B-C,55,6
63,1,2,DRY,CLASE B-C,70,6
64,4,2,DRY,CLASE B-C,67,6
65,1,2,DRY,CLASE B-C,56,6
66,6,2,DRY,CLASE B-C,50,6
67,2,2,DRY,CLASE B-C,46,6
68,2,2,DRY,CLASE B-C,45,6
69,2,2,DRY,CLASE B-C,28,6
70,2,2,DRY,CLASE B-C,28,6
71,2,2,DRY,CLASE B-C,28,6
72,2,2,DRY,CLASE B-C,28,6
73,2,2,DRY,CLASE B-C,32,6
74,2,2,DRY,CLASE B-C,27,6
75,2,2,DRY,CLASE B-C,28,6
76,2,2,DRY,CLASE B-C,27,6
77,2,2,DRY,CLASE B-C,28,6
78,2,2,DRY,CLASE B-C,29,6
79,2,2,DRY,CLASE B-C,32,6
80,2,2,DRY,CLASE B-C,28,6
81,2,2,DRY,CLASE B-C,27,6
82,2,2,DRY,CLASE B-C,28,6
83,2,2,DRY,CLASE B-C,28,6
84,2,2,DRY,CLASE B-C,28,6
85,5,2,DRY,CLASE B-C,25,6
86,5,2,DRY,CLASE B-C,25,6
87,7,2,RF,CLASE B-C,33,6
88,4,2,DRY,CLASE B-C,27,6
89,4,2,DRY,CLASE B-C,27,6
90,2,2,DRY,CLASE D,24,6
91,2,2,DRY,CLASE B-C,28,6
92,2,2,DRY,CLASE B-C,28,6
93,2,2,DRY,CLASE B-C,24,6
94,2,2,DRY,CLASE B-C,25,6
95,2,2,DRY,CLASE D,24,6
96,5,2,DRY,CLASE B-C,28,6
97,5,2,DRY,CLASE B-C,28,6
98,5,2,DRY,CLASE B-C,28,6
99,6,2,RF,CLASE B-C,25,6
100,4,2,DRY,CLASE B-C,12,6
101,4,2,DRY,CLASE B-C,5,6
102,2,2,DRY,CLASE B-C,17,6
103,5,2,DRY,CLASE B-C,11,6
104,5,2,DRY,CLASE B-C,7,6
105,5,2,DRY,CLASE B-C,13,6
106,1,2,DRY,CLASE B-C,5,6
107,1,2,DRY,CLASE B-C,18,6
108,6,2,DRY,CLASE B-C,4,6
109,6,2,DRY,CLASE B-C,4,6
110,6,2,DRY,CLASE B-C,5,6
111,6,2,DRY,CLASE B-C,4,6
112,6,2,DRY,CLASE B-C,4,6
113,6,2,RF,CLASE B-C,6,6
114,6,2,DRY,CLASE B-C,5,6
115,2,2,DRY,CLASE B-C,3,6
116,2,2,DRY,CLASE B-C,3,6
117,2,2,DRY,CLASE B-C,3,6
118,2,2,DRY,CLASE B-C,2,6
119,2,2,RF,CLASE B-C,3,6
120,2,2,DRY,CLASE D,3,6
121,2,2,DRY,CLASE B-C,1,6
122,2,2,DRY,CLASE B-C,2,6
123,2,2,RF,CLASE B-C,3,6
124,2,2,DRY,CLASE B-C,2,6
125,2,2,DRY,CLASE B-C,3,6
126,1,2,DRY,CLASE B-C,92,6
127,1,2,RF,INSPECTION,83,6
128,1,2,DRY,CLASE B-C,80,6
129,3,2,DRY,CLASE A,79,6
130,3,2,DRY,CLASE A,81,6
131,1,2,DRY,CLASE B-C,67,6
132,1,2,DRY,CLASE B-C,67,6
133,1,2,DRY,CLASE B-C,64,6
134,1,2,DRY,CLASE B-C,67,6
135,1,2,DRY,CLASE B-C,69,6
136,1,2,DRY,CLASE B-C,69,6
137,1,2,DRY,CLASE B-C,64,6
138,1,2,DRY,CLASE B-C,67,6
139,6,2,DRY,CLASE B-C,60,6
140,1,2,DRY,CLASE B-C,55,6
141,1,2,DRY,CLASE B-C,55,6
142,1,2,DRY,CLASE B-C,49,6
143,6,2,DRY,CLASE B-C,57,6
144,2,2,DRY,CLASE B-C,46,6
145,2,2,DRY,CLASE B-C,39,6
146,6,2,DRY,CLASE B-C,36,6
147,6,2,DRY,CLASE B-C,36,6
148,1,2,RF,CLASE B-C,28,6
149,2,2,DRY,CLASE B-C,28,6
150,2,2,DRY,CLASE B-C,28,6
151,2,2,DRY,CLASE B-C,32,6
152,2,2,DRY,CLASE B-C,33,6
153,2,2,DRY,CLASE B-C,28,6
154,2,2,DRY,CLASE B-C,28,6
155,2,2,DRY,CLASE B-C,32,6
156,2,2,DRY,CLASE B-C,28,6
157,2,2,DRY,CLASE B-C,28,6
158,5,2,DRY,INSPECTION,28,6
159,2,2,DRY,CLASE B-C,25,6
160,2,2,DRY,CLASE B-C,26,6
161,2,2,DRY,CLASE B-C,22,6
162,2,2,DRY,CLASE D,24,6
163,2,2,DRY,CLASE B-C,26,6
164,2,2,DRY,CLASE B-C,26,6
165,2,2,DRY,CLASE D,24,6
166,2,2,DRY,CLASE B-C,29,6
167,2,2,DRY,CLASE B-C,25,6
168,2,2,DRY,CLASE B-C,25,6
169,2,2,DRY,CLASE B-C,25,6
170,5,2,DRY,INSPECTION,28,6
171,5,2,DRY,INSPECTION,29,6
172,5,2,DRY,INSPECTION,28,6
173,5,2,DRY,INSPECTION,28,6
174,5,2,DRY,INSPECTION,28,6
175,5,2,DRY,INSPECTION,28,6
176,5,2,DRY,INSPECTION,29,6
177,5,2,DRY,CLASE B-C,28,6
178,1,2,RF,CLASE B-C,29,6
179,7,2,RF,CLASE B-C,26,6
180,2,2,DRY,CLASE B-C,18,6
181,2,2,DRY,CLASE B-C,17,6
182,5,2,DRY,INSPECTION,7,6
183,5,2,DRY,INSPECTION,7,6
184,5,1,DRY,INSPECTION,10,6
185,1,2,DRY,CLASE B-C,18,6
186,6,2,DRY,CLASE B-C,3,6
187,7,2,DRY,CLASE B-C,1,6
188,7,2,DRY,CLASE B-C,1,6
189,7,2,DRY,CLASE B-C,1,6
190,7,2,DRY,CLASE B-C,1,6
191,7,2,DRY,CLASE B-C,1,6
192,7,2,DRY,CLASE B-C,1,6
193,6,2,RF,CLASE B-C,5,6
194,7,2,DRY,CLASE B-C,1,6
195,7,2,DRY,CLASE B-C,2,6
196,7,2,DRY,CLASE B-C,1,6
197,7,2,DRY,CLASE B-C,1,6
198,7,2,DRY,CLASE B-C,1,6
199,7,2,DRY,CLASE B-C,1,6
200,7,2,DRY,CLASE B-C,1,6
201,7,2,RF,CLASE B-C,6,6
202,7,2,DRY,CLASE B-C,1,6
203,7,2,DRY,CLASE B-C,1,6
204,7,2,DRY,CLASE B-C,1,6
205,7,2,DRY,CLASE B-C,1,6
206,7,2,DRY,CLASE B-C,1,6
207,7,2,DRY,CLASE B-C,1,6
208,7,2,DRY,CLASE B-C,1,6
209,7,2,DRY,CLASE B-C,1,6
210,7,2,DRY,CLASE B-C,1,6
211,7,2,DRY,CLASE B-C,1,6
212,7,2,DRY,CLASE B-C,1,6
213,7,2,RF,CLASE B-C,6,6
214,7,2,DRY,CLASE B-C,1,6
215,7,2,DRY,CLASE B-C,1,6
216,7,2,DRY,CLASE B-C,1,6
217,7,2,DRY,CLASE B-C,1,6
218,7,2,DRY,CLASE B-C,1,6
219,7,2,DRY,CLASE B-C,1,6
220,7,2,DRY,CLASE B-C,1,6
221,7,2,DRY,CLASE B-C,1,6
222,7,2,DRY,CLASE B-C,1,6
223,7,2,RF,CLASE B-C,6,6
224,7,2,DRY,CLASE B-C,1,6
225,2,2,DRY,CLASE B-C,2,6
226,2,2,RF,CLASE B-C,3,6
227,2,2,DRY,CLASE B-C,2,6
228,2,2,RF,CLASE B-C,3,6
229,2,2,DRY,CLASE B-C,2,6
230,2,2,RF,CLASE B-C,3,6
231,2,2,RF,CLASE B-C,3,6
232,2,2,RF,CLASE B-C,3,6
233,2,2,RF,CLASE B-C,3,6
234,2,2,RF,CLASE B-C,3,6
235,2,2,RF,CLASE B-C,3,6
236,2,2,DRY,CLASE B-C,2,6
237,2,2,RF,CLASE B-C,3,6
238,2,2,RF,CLASE B-C,3,6
239,2,2,DRY,CLASE B-C,2,6
240,2,2,DRY,CLASE B-C,2,6
241,2,2,DRY,CLASE B-C,2,6
242,6,2,DRY,CLASE B-C,3,6
243,6,2,DRY,CLASE B-C,3,6
244,6,2,DRY,CLASE B-C,3,6
245,6,2,DRY,CLASE B-C,3,6
246,6,2,DRY,CLASE B-C,3,6
247,6,2,DRY,CLASE B-C,3,6
248,6,2,DRY,CLASE B-C,1,6
249,6,2,DRY,CLASE B-C,1,6
250,6,2,DRY,CLASE B-C,1,6
251,6,2,DRY,CLASE B-C,1,6
252,6,2,DRY,CLASE B-C,1,6
253,6,2,DRY,CLASE B-C,1,6
254,3,2,DRY,CLASE B-C,88,6
255,3,2,DRY,CLASE A,89,6
256,3,2,DRY,CLASE B-C,88,6
257,1,1,DRY,INSPECTION,57,6
258,1,2,DRY,CLASE D,50,6
259,4,2,RF,CLASE B-C,57,6
260,7,2,RF,CLASE B-C,58,6
261,2,2,DRY,CLASE B-C,54,6
262,2,2,DRY,CLASE B-C,54,6
263,1,2,DRY,CLASE B-C,51,6
264,1,2,DRY,CLASE B-C,49,6
265,2,2,DRY,CLASE B-C,46,6
266,2,2,DRY,CLASE B-C,45,6
267,1,2,DRY,CLASE B-C,37,6
268,1,2,RF,CLASE B-C,36,6
269,1,2,RF,CLASE B-C,39,6
270,1,2,DRY,CLASE B-C,36,6
271,1,2,DRY,CLASE B-C,19,6
272,1,2,DRY,CLASE B-C,36,6
273,1,2,DRY,CLASE B-C,21,6
274,1,2,DRY,CLASE B-C,22,6
275,2,2,DRY,CLASE B-C,31,6
276,2,2,DRY,CLASE B-C,29,6
277,2,2,DRY,CLASE B-C,30,6
278,2,2,DRY,CLASE B-C,39,6
279,2,2,DRY,CLASE B-C,31,6
280,2,2,DRY,CLASE B-C,28,6
281,2,2,DRY,CLASE B-C,29,6
282,2,2,DRY,CLASE B-C,30,6
283,2,2,DRY,CLASE B-C,31,6
284,1,2,DRY,CLASE B-C,39,6
285,3,2,DRY,CLASE A,24,6
286,1,2,DRY,CLASE B-C,36,6
287,1,2,DRY,CLASE B-C,36,6
288,1,2,DRY,CLASE B-C,36,6
289,1,2,DRY,CLASE B-C,36,6
290,1,2,DRY,CLASE B-C,36,6
291,1,2,DRY,CLASE B-C,36,6
292,1,2,DRY,CLASE B-C,36,6
293,1,2,DRY,CLASE B-C,36,6
294,1,2,DRY,CLASE B,36,6
295,1,2,DRY,CLASE B-C,36,6
296,1,2,DRY,CLASE B-C,36,6
297,1,2,DRY,CLASE B-C,36,6
298,1,2,DRY,CLASE B-C,36,6
299,1,2,DRY,CLASE B-C,33,6
300,2,2,DRY,CLASE B-C,34,6
301,4,2,DRY,CLASE C,32,6
302,2,2,DRY,CLASE B-C,26,6
303,2,2,DRY,CLASE B-C,27,6
304,2,2,DRY,CLASE B-C,24,6
305,2,2,DRY,CLASE B-C,29,6
306,2,2,DRY,CLASE B-C,29,6
307,2,2,DRY,CLASE B-C,27,6
308,2,2,DRY,CLASE B-C,26,6
309,2,2,DRY,CLASE B-C,27,6
310,2,2,DRY,CLASE B-C,27,6
311,2,2,DRY,CLASE B-C,26,6
312,2,2,DRY,CLASE B-C,26,6
313,2,2,DRY,CLASE B-C,24,6
314,2,2,DRY,CLASE B-C,26,6
315,2,2,DRY,CLASE B-C,26,6
316,2,2,DRY,CLASE B-C,26,6
317,2,2,DRY,CLASE D,26,6
318,2,2,DRY,CLASE B-C,26,6
319,2,2,DRY,CLASE B-C,25,6
320,2,2,DRY,CLASE B-C,27,6
321,2,2,DRY,CLASE B-C,27,6
322,2,2,DRY,CLASE B-C,29,6
323,2,2,DRY,CLASE B-C,27,6
324,2,2,DRY,CLASE B-C,27,6
325,2,2,DRY,CLASE B-C,26,6
326,2,2,DRY,CLASE B-C,26,6
327,2,2,DRY,CLASE B-C,29,6
328,2,2,DRY,CLASE B-C,26,6
329,2,2,DRY,CLASE B-C,26,6
330,2,2,DRY,CLASE B-C,27,6
331,2,2,DRY,CLASE B-C,26,6
332,2,2,DRY,CLASE B-C,26,6
333,2,2,DRY,CLASE B-C,27,6
334,2,2,DRY,CLASE B-C,27,6
335,2,2,DRY,CLASE B-C,29,6
336,2,2,DRY,CLASE B-C,27,6
337,2,2,DRY,CLASE B-C,29,6
338,2,2,DRY,CLASE B-C,29,6
339,2,2,DRY,CLASE B-C,27,6
340,2,2,DRY,CLASE B-C,27,6
341,2,2,DRY,CLASE B-C,27,6
342,2,2,DRY,CLASE B-C,26,6
343,2,2,DRY,CLASE B-C,29,6
344,2,2,DRY,CLASE B-C,26,6
345,2,2,DRY,CLASE B-C,26,6
346,2,2,DRY,CLASE B-C,27,6
347,2,2,DRY,CLASE B-C,26,6
348,2,2,DRY,CLASE B-C,29,6
349,2,2,DRY,CLASE B-C,26,6
350,2,2,DRY,CLASE B-C,26,6
351,2,2,DRY,CLASE B-C,25,6
352,2,2,DRY,CLASE B-C,27,6
353,2,2,DRY,CLASE B-C,26,6
354,2,2,DRY,CLASE B-C,27,6
355,2,2,DRY,CLASE B-C,27,6
356,2,2,DRY,CLASE B-C,25,6
357,2,2,DRY,CLASE B-C,26,6
358,5,2,DRY,CLASE B-C,29,6
359,5,2,DRY,INSPECTION,29,6
360,1,1,DRY,CLASE B-C,28,6
361,1,1,DRY,CLASE B-C,27,6
362,1,1,DRY,CLASE B-C,28,6
363,1,2,DRY,CLASE B-C,29,6
364,6,2,DRY,CLASE B-C,27,6
365,1,2,DRY,CLASE B-C,22,6
366,1,2,DRY,CLASE B-C,22,6
367,1,2,DRY,CLASE B-C,22,6
368,1,2,DRY,CLASE B-C,22,6
369,1,2,DRY,CLASE B-C,22,6
370,1,2,DRY,CLASE B-C,22,6
371,9,2,RF,CLASE B-C,12,6
372,9,2,RF,CLASE B-C,12,6
373,9,1,DRY,CLASE B-C,13,6
374,9,1,DRY,CLASE B-C,13,6
375,2,2,DRY,CLASE B-C,16,6
376,2,2,DRY,CLASE B-C,15,6
377,2,2,DRY,CLASE B-C,15,6
378,2,2,DRY,CLASE B-C,19,6
379,2,2,DRY,CLASE B-C,18,6
380,2,2,DRY,CLASE B-C,19,6
381,2,2,DRY,CLASE B-C,18,6
382,2,2,DRY,CLASE B-C,19,6
383,2,2,DRY,CLASE B-C,19,6
384,2,2,DRY,CLASE B-C,16,6
385,2,2,DRY,CLASE B-C,19,6
386,2,2,DRY,CLASE B-C,19,6
387,2,2,DRY,CLASE B-C,16,6
388,2,2,DRY,CLASE B-C,15,6
389,2,2,DRY,CLASE B-C,16,6
390,2,2,DRY,CLASE B-C,15,6
391,2,2,DRY,CLASE B-C,16,6
392,2,2,DRY,CLASE B-C,15,6
393,2,2,DRY,CLASE B-C,16,6
394,2,2,DRY,CLASE B-C,16,6
395,2,2,DRY,CLASE B-C,15,6
396,2,2,DRY,CLASE B-C,16,6
397,2,2,DRY,CLASE B-C,15,6
398,2,2,DRY,CLASE B-C,16,6
399,2,2,DRY,CLASE B-C,16,6
400,5,2,DRY,CLASE B-C,6,6
401,5,2,DRY,CLASE B-C,6,6
402,1,1,DRY,CLASE B-C,12,6
403,1,1,DRY,CLASE B-C,11,6
404,1,1,DRY,CLASE B-C,15,6
405,1,1,DRY,CLASE B-C,15,6
406,1,1,DRY,CLASE B-C,15,6
407,1,2,DRY,CLASE B-C,21,6
408,1,2,DRY,CLASE B-C,21,6
409,1,2,DRY,CLASE B-C,21,6
410,1,2,DRY,CLASE B-C,21,6
411,1,2,DRY,CLASE B-C,21,6
412,1,2,DRY,CLASE B-C,21,6
413,1,2,DRY,CLASE B-C,21,6
414,1,2,DRY,CLASE B-C,21,6
415,1,2,DRY,CLASE D,21,6
416,1,2,DRY,CLASE B-C,21,6
417,1,2,DRY,CLASE B-C,21,6
418,1,2,DRY,CLASE B-C,21,6
419,1,2,DRY,CLASE B-C,21,6
420,1,2,DRY,CLASE B-C,20,6
421,1,2,DRY,CLASE B-C,16,6
422,1,2,DRY,CLASE D,17,6
423,7,2,DRY,CLASE B-C,14,6
424,7,2,DRY,CLASE B-C,1,6
425,7,2,DRY,CLASE B-C,14,6
426,7,2,DRY,CLASE B-C,13,6
427,7,2,DRY,CLASE B-C,8,6
428,7,2,DRY,CLASE B-C,9,6
429,7,2,DRY,CLASE B-C,2,6
430,7,2,DRY,CLASE B-C,9,6
431,7,2,DRY,CLASE B-C,9,6
432,7,2,DRY,CLASE B-C,1,6
433,7,2,DRY,CLASE D,9,6
