Unnamed: 0,Condition,Owner_in,Size_in,Type_in,Quality_in,Owner_out,Size_out,Type_out,Quality_out,DaysInDeposit,week
79,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
80,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,24,5
81,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
82,O,7,2,DRY,CLASE B-C,7,2,RF,CLASE B-C,26,5
83,O,7,2,DRY,CLASE B-C,9,2,DRY,CLASE B-C,18,5
84,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
85,I,7,2,DRY,INSPECTION,2,2,DRY,CLASE B-C,17,5
86,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
87,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
88,O,7,2,DRY,CLASE B-C,5,2,DRY,CLASE B-C,22,5
89,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
90,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE A,1,5
91,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE D,4,5
92,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
93,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
94,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
95,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
96,D,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
97,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,4,5
98,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
99,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
100,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
101,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
102,D,7,2,DRY,CLASE D,7,2,DRY,CLASE B-C,5,5
103,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
104,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
105,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,5,5
106,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE D,4,5
107,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
108,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,3,5
109,D,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
110,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
111,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
112,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
113,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
114,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
115,I,7,2,DRY,INSPECTION,7,2,DRY,CLASE B-C,1,5
116,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
117,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
118,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,1,5
119,O,7,2,DRY,CLASE B-C,7,2,DRY,CLASE B-C,3,5
120,O,7,2,DRY,CLASE B,7,2,DRY,CLASE B-C,1,5
121,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,4,5
122,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,4,5
123,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
124,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
125,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,1,5
126,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,67,5
127,D,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,62,5
128,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,64,5
129,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,57,5
130,O,7,2,DRY,CLASE B-C,4,2,DRY,CLASE B-C,60,5
131,O,7,2,DRY,CLASE B-C,4,2,DRY,CLASE B-C,60,5
132,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,1,5
133,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,42,5
134,D,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,1,5
135,O,7,2,DRY,CLASE B-C,4,2,RF,CLASE B-C,49,5
136,O,7,2,DRY,CLASE B-C,7,2,RF,CLASE B-C,53,5
137,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,49,5
138,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,1,5
139,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,36,5
140,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
141,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
142,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
143,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
144,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
145,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
146,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
147,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
148,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
149,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,31,5
150,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,33,5
151,O,7,2,DRY,CLASE B-C,1,2,RF,CLASE B-C,32,5
152,O,7,2,DRY,CLASE B-C,1,2,RF,CLASE B-C,21,5
153,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,18,5
154,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
155,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
156,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,22,5
157,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,25,5
158,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,25,5
159,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
160,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
161,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,30,5
162,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,21,5
163,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,31,5
164,O,7,2,DRY,CLASE B-C,1,2,DRY,CLASE B-C,31,5
165,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
166,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
167,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE A,18,5
168,O,7,2,DRY,CLASE B-C,3,2,DRY,CLASE B-C,18,5
169,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
170,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
171,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
172,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
173,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,21,5
174,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
175,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
176,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,15,5
177,O,7,2,DRY,CLASE A,1,2,DRY,CLASE B-C,25,5
178,O,7,2,DRY,CLASE B-C,9,1,DRY,CLASE B-C,18,5
179,O,7,2,DRY,CLASE B-C,9,1,DRY,CLASE B-C,19,5
180,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
181,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
182,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
183,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
184,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
185,O,7,2,DRY,CLASE B-C,2,2,DRY,CLASE B-C,17,5
186,O,7,2,DRY,CLASE B-C,1,2,RF,CLASE B-C,22,5
187,O,7,2,DRY,CLASE B-C,1,2,RF,CLASE B-C,22,5
188,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,18,5
189,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,18,5
190,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,16,5
191,O,7,2,DRY,CLASE B-C,6,2,DRY,CLASE B-C,16,5
192,D,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,19,5
193,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,18,5
194,O,7,2,DRY,CLASE B-C,6,2,RF,CLASE B-C,18,5
